Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
LALL-PD-KC2015-555-LH-LB-30d-HMC-16S_S49_L001_R1_001	pass	0.0	fail	250.994800991	Sanger / Illumina 1.9	fail	pass	warn	227-251	Conventional base calls	pass	fail	40777.0	pass	fail	fail	53.0	2.4474581259	LALL-PD-KC2015-555-LH-LB-30d-HMC-16S_S49_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-555-LH-LB-30d-HMC-16S_S49_L001_R2_001	pass	0.0	fail	250.031733575	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	40777.0	pass	fail	fail	51.0	6.14316894328	LALL-PD-KC2015-555-LH-LB-30d-HMC-16S_S49_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-556-LH-LB-30d-HMC-16S_S50_L001_R1_001	pass	0.0	fail	250.995628807	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	13955.0	pass	fail	fail	53.0	3.67610175564	LALL-PD-KC2015-556-LH-LB-30d-HMC-16S_S50_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-556-LH-LB-30d-HMC-16S_S50_L001_R2_001	pass	0.0	fail	250.031458259	Sanger / Illumina 1.9	fail	pass	warn	247-251	Conventional base calls	pass	fail	13955.0	pass	fail	fail	51.0	8.6850591186	LALL-PD-KC2015-556-LH-LB-30d-HMC-16S_S50_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-557-LH-LB-30d-HMC-16S_S51_L001_R1_001	pass	0.0	fail	250.992330357	Sanger / Illumina 1.9	fail	pass	warn	62-251	Conventional base calls	pass	fail	44461.0	pass	fail	fail	54.0	2.37286610738	LALL-PD-KC2015-557-LH-LB-30d-HMC-16S_S51_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-557-LH-LB-30d-HMC-16S_S51_L001_R2_001	pass	0.0	fail	250.991970491	Sanger / Illumina 1.9	fail	pass	warn	62-251	Conventional base calls	pass	fail	44461.0	pass	fail	fail	51.0	6.43710217944	LALL-PD-KC2015-557-LH-LB-30d-HMC-16S_S51_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-560-LB-30d-HMC-16S_S52_L001_R1_001	pass	0.0	fail	249.995833782	Sanger / Illumina 1.9	fail	pass	warn	179-251	Conventional base calls	pass	fail	27843.0	pass	fail	fail	53.0	2.84811263154	LALL-PD-KC2015-560-LB-30d-HMC-16S_S52_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-560-LB-30d-HMC-16S_S52_L001_R2_001	pass	0.0	fail	249.994971806	Sanger / Illumina 1.9	warn	pass	warn	179-251	Conventional base calls	pass	fail	27843.0	pass	fail	fail	51.0	6.8383435693	LALL-PD-KC2015-560-LB-30d-HMC-16S_S52_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-561-LB-30d-HMC-16S_S53_L001_R1_001	pass	0.0	fail	249.99625906	Sanger / Illumina 1.9	warn	pass	warn	179-251	Conventional base calls	pass	fail	29939.0	pass	fail	fail	53.0	2.78900430876	LALL-PD-KC2015-561-LB-30d-HMC-16S_S53_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-561-LB-30d-HMC-16S_S53_L001_R2_001	pass	0.0	fail	249.994989813	Sanger / Illumina 1.9	fail	pass	warn	179-251	Conventional base calls	pass	warn	29939.0	pass	fail	fail	51.0	7.50192057183	LALL-PD-KC2015-561-LB-30d-HMC-16S_S53_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-562-LB-30d-HMC-16S_S54_L001_R1_001	pass	0.0	fail	249.994825356	Sanger / Illumina 1.9	warn	pass	warn	179-251	Conventional base calls	pass	fail	24736.0	pass	fail	fail	53.0	3.01584734799	LALL-PD-KC2015-562-LB-30d-HMC-16S_S54_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-562-LB-30d-HMC-16S_S54_L001_R2_001	pass	0.0	fail	249.994825356	Sanger / Illumina 1.9	warn	pass	warn	179-251	Conventional base calls	pass	warn	24736.0	pass	fail	fail	50.0	7.66089909444	LALL-PD-KC2015-562-LB-30d-HMC-16S_S54_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-565-Control-92d-HMC-16S_S55_L001_R1_001	pass	0.0	fail	249.99559783	Sanger / Illumina 1.9	fail	pass	warn	179-251	Conventional base calls	pass	fail	76326.0	pass	fail	fail	54.0	2.63737127584	LALL-PD-KC2015-565-Control-92d-HMC-16S_S55_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-565-Control-92d-HMC-16S_S55_L001_R2_001	pass	0.0	fail	249.991379084	Sanger / Illumina 1.9	warn	pass	warn	179-251	Conventional base calls	pass	fail	76326.0	pass	fail	fail	51.0	8.37984435186	LALL-PD-KC2015-565-Control-92d-HMC-16S_S55_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-566-Control-92d-HMC-16S_S56_L001_R1_001	pass	0.0	fail	250.996924067	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	27959.0	pass	fail	fail	53.0	3.92002575199	LALL-PD-KC2015-566-Control-92d-HMC-16S_S56_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-566-Control-92d-HMC-16S_S56_L001_R2_001	pass	0.0	fail	250.039414857	Sanger / Illumina 1.9	fail	pass	warn	247-251	Conventional base calls	pass	fail	27959.0	pass	fail	fail	51.0	8.80575127866	LALL-PD-KC2015-566-Control-92d-HMC-16S_S56_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-567-Control-92d-HMC-16S_S57_L001_R1_001	pass	0.0	fail	250.99542876	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	18157.0	pass	fail	fail	53.0	5.02836371647	LALL-PD-KC2015-567-Control-92d-HMC-16S_S57_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-567-Control-92d-HMC-16S_S57_L001_R2_001	pass	0.0	fail	250.035853941	Sanger / Illumina 1.9	warn	pass	warn	247-251	Conventional base calls	pass	fail	18157.0	pass	fail	fail	50.0	10.0842650218	LALL-PD-KC2015-567-Control-92d-HMC-16S_S57_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-570-LH-92d-HMC-16S_S58_L001_R1_001	pass	0.0	fail	250.995130858	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	39432.0	pass	fail	fail	53.0	2.87837289511	LALL-PD-KC2015-570-LH-92d-HMC-16S_S58_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-570-LH-92d-HMC-16S_S58_L001_R2_001	pass	0.0	fail	250.034261513	Sanger / Illumina 1.9	fail	pass	warn	234-251	Conventional base calls	pass	fail	39432.0	pass	fail	fail	51.0	7.44572935687	LALL-PD-KC2015-570-LH-92d-HMC-16S_S58_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-571-LH-92d-HMC-16S_S59_L001_R1_001	pass	0.0	fail	250.995799507	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	49518.0	pass	fail	fail	54.0	2.59703542146	LALL-PD-KC2015-571-LH-92d-HMC-16S_S59_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-571-LH-92d-HMC-16S_S59_L001_R2_001	pass	0.0	fail	250.031059413	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	49518.0	pass	fail	fail	51.0	6.79348923624	LALL-PD-KC2015-571-LH-92d-HMC-16S_S59_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-574-LH-92d-HMC-16S_S60_L001_R1_001	pass	0.0	fail	250.995813041	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	45379.0	pass	fail	fail	53.0	2.87357588312	LALL-PD-KC2015-574-LH-92d-HMC-16S_S60_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-574-LH-92d-HMC-16S_S60_L001_R2_001	pass	0.0	fail	250.036977457	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	45379.0	pass	fail	fail	51.0	8.00810947795	LALL-PD-KC2015-574-LH-92d-HMC-16S_S60_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-575-LH-LB-92d-HMC-16S_S61_L001_R1_001	pass	0.0	fail	249.996503497	Sanger / Illumina 1.9	warn	pass	warn	184-251	Conventional base calls	pass	fail	33176.0	pass	fail	fail	53.0	3.37593441042	LALL-PD-KC2015-575-LH-LB-92d-HMC-16S_S61_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-575-LH-LB-92d-HMC-16S_S61_L001_R2_001	pass	0.0	fail	250.035899445	Sanger / Illumina 1.9	fail	pass	warn	249-251	Conventional base calls	pass	warn	33176.0	pass	fail	fail	50.0	7.52049674463	LALL-PD-KC2015-575-LH-LB-92d-HMC-16S_S61_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-576-LH-LB-92d-HMC-16S_S62_L001_R1_001	pass	0.0	fail	249.995802166	Sanger / Illumina 1.9	fail	pass	warn	179-251	Conventional base calls	pass	fail	44785.0	pass	fail	fail	53.0	2.70849614826	LALL-PD-KC2015-576-LH-LB-92d-HMC-16S_S62_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-576-LH-LB-92d-HMC-16S_S62_L001_R2_001	pass	0.0	fail	249.995668192	Sanger / Illumina 1.9	fail	pass	warn	179-251	Conventional base calls	pass	fail	44785.0	pass	fail	fail	50.0	7.26359272078	LALL-PD-KC2015-576-LH-LB-92d-HMC-16S_S62_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-577-LH-LB-92d-HMC-16S_S63_L001_R1_001	pass	0.0	fail	250.995253058	Sanger / Illumina 1.9	fail	pass	warn	227-251	Conventional base calls	pass	fail	59196.0	pass	fail	fail	53.0	2.5525373336	LALL-PD-KC2015-577-LH-LB-92d-HMC-16S_S63_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-577-LH-LB-92d-HMC-16S_S63_L001_R2_001	pass	0.0	fail	250.03436043	Sanger / Illumina 1.9	fail	pass	warn	246-251	Conventional base calls	pass	fail	59196.0	pass	fail	fail	51.0	6.78931008852	LALL-PD-KC2015-577-LH-LB-92d-HMC-16S_S63_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-580-LB-92d-HMC-16S_S64_L001_R1_001	pass	0.0	fail	250.996101003	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	warn	43088.0	pass	fail	fail	53.0	2.83141477906	LALL-PD-KC2015-580-LB-92d-HMC-16S_S64_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-580-LB-92d-HMC-16S_S64_L001_R2_001	pass	0.0	fail	250.034441144	Sanger / Illumina 1.9	fail	pass	warn	247-251	Conventional base calls	pass	warn	43088.0	pass	fail	fail	50.0	6.88590790939	LALL-PD-KC2015-580-LB-92d-HMC-16S_S64_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-581-LB-92d-HMC-16S_S65_L001_R1_001	pass	0.0	fail	250.994845213	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	34919.0	pass	fail	fail	53.0	3.44225206907	LALL-PD-KC2015-581-LB-92d-HMC-16S_S65_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-581-LB-92d-HMC-16S_S65_L001_R2_001	pass	0.0	fail	250.036971276	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	warn	34919.0	pass	fail	fail	50.0	7.59758297775	LALL-PD-KC2015-581-LB-92d-HMC-16S_S65_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-582-LB-92d-HMC-16S_S66_L001_R1_001	pass	0.0	fail	250.995740342	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	warn	44135.0	pass	fail	fail	52.0	2.94777387561	LALL-PD-KC2015-582-LB-92d-HMC-16S_S66_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-582-LB-92d-HMC-16S_S66_L001_R2_001	pass	0.0	fail	250.037249349	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	warn	44135.0	pass	fail	fail	50.0	7.55636116461	LALL-PD-KC2015-582-LB-92d-HMC-16S_S66_L001_R2_001.fastq.gz	warn	pass
