OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C_mean	C-LATE_mean	C-NO_mean	LB500-EARLY_mean	C-EARLY_mean	LB500-NO_mean	taxonomy
New.ReferenceOTU32	13.3073929961	0.0206622947388	0.128005435699	1.0	5.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.CleanUp.ReferenceOTU588	13.3073929961	0.0206622947388	0.128005435699	1.0	4.75	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU617	13.3073929961	0.0206622947388	0.128005435699	1.0	2.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU752	13.3073929961	0.0206622947388	0.128005435699	1.0	10.75	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU972	13.3073929961	0.0206622947388	0.128005435699	1.0	8.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU1327	13.3073929961	0.0206622947388	0.128005435699	1.0	2.25	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.CleanUp.ReferenceOTU1576	13.3073929961	0.0206622947388	0.128005435699	1.0	7.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_salmonis
New.CleanUp.ReferenceOTU1684	13.3073929961	0.0206622947388	0.128005435699	1.0	1.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU1773	13.3073929961	0.0206622947388	0.128005435699	1.0	14.75	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU1821	13.3073929961	0.0206622947388	0.128005435699	1.0	13.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__unidentified; s__unculturedTrichoderma
JN905772	13.0602250958	0.022820883065	0.139674802374	1.0	118.75	0.0	26.75	509.0	0.0	51.6666666667	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
GU721782	13.0175925926	0.023214463065	0.140392229012	1.0	1.25	0.0	0.0	0.0	0.25	0.333333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU721776	12.9589047619	0.0237669335179	0.142042379142	1.0	26.25	0.0	0.0	0.0	3.25	11.3333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU721432	12.6495495495	0.026893816663	0.158861149591	1.0	68.75	0.0	30.0	292.0	0.0	37.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU1869	12.459049871	0.029011344276	0.167762838389	1.0	8.25	0.0	3.5	39.0	0.25	1.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
AM901893	12.4269047619	0.0293840229118	0.167762838389	1.0	20.0	0.0	0.0	0.0	0.25	33.3333333333	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
New.ReferenceOTU24	12.4262620349	0.0293915208989	0.167762838389	1.0	3.25	0.0	6.25	154.0	1.25	11.3333333333	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_prolifica
GQ515349	12.2531904762	0.0314784494404	0.177678359064	1.0	226.75	0.0	0.0	0.0	30.75	91.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU518	12.1358695652	0.0329727438636	0.182677923308	1.0	48.75	0.0	27.0	0.0	0.25	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
EU490138	12.1273841962	0.0330834034337	0.182677923308	1.0	2.25	0.0	2.5	0.0	0.75	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AY228122	11.962962963	0.0352988128756	0.192815020869	1.0	0.0	0.0	0.0	1.0	0.0	0.333333333333	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__Pseudallescheria; s__Pseudallescheria_boydii
New.ReferenceOTU9	11.8438798338	0.0369907523414	0.199907470101	1.0	0.0	3584.5	0.25	0.0	1058.5	0.333333333333	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Incertae_sedis; f__Monascaceae; g__Monascus; s__Monascus_purpureus
New.CleanUp.ReferenceOTU1679	11.4665605096	0.0428752083293	0.229269535066	1.0	2.25	0.0	1.25	4.0	0.0	1.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FM177659	11.4266304348	0.0435474267499	0.229830958029	1.0	0.0	128.75	0.0	10.0	1.0	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__Saccharomyces_cerevisiae
HM037642	11.406795422	0.0438850451354	0.229830958029	1.0	242.0	0.0	168.25	1067.0	44.5	15.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
HQ631071	11.2686567164	0.0463059618753	0.238118053337	1.0	12.5	2.0	254.25	0.0	144.5	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_sp_1_TMS_2011
GU721713	11.2631578947	0.0464048962212	0.238118053337	1.0	0.0	0.0	0.0	1.0	0.0	0.666666666667	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
AM901803	11.2331410256	0.0469484883973	0.238498321058	1.0	8.0	0.0	0.0	0.0	0.0	0.333333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HM162228	10.9494362227	0.0523917822714	0.262733399251	1.0	1.25	0.0	0.5	0.0	0.0	2.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
New.CleanUp.ReferenceOTU1921	10.8979198767	0.0534419202465	0.262733399251	1.0	0.0	2.5	0.25	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_kudriavzevii
HQ631052	10.8811538462	0.0537879400041	0.262733399251	1.0	137.25	9.75	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_5_TMS_2011
HM487012	10.8811538462	0.0537879400041	0.262733399251	1.0	34.0	0.0	1.25	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cercospora; s__Cercospora_sp_CPC_15875
New.ReferenceOTU22	10.5127627628	0.0619435976643	0.29968902489	1.0	186.25	1.25	29.75	0.0	9.5	203.333333333	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_sp_CBS_10854
New.CleanUp.ReferenceOTU109	10.3014705882	0.0671301922132	0.321718279663	1.0	1.5	0.0	0.25	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FN562062	10.1905769231	0.0700119497698	0.332393182085	1.0	37.25	0.0	0.0	0.0	0.0	20.6666666667	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
EU863525	10.1547464239	0.0709674498013	0.332625846372	1.0	2.25	0.0	1.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
FM177662	10.1397667419	0.0713705064067	0.332625846372	1.0	28.5	3812.0	419.75	134.0	45.25	133.666666667	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_kudriavzevii
GU721692	10.1014492754	0.0724112321496	0.334408235746	1.0	1.5	0.0	0.25	7.0	0.0	1.33333333333	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GQ866206	9.87012987013	0.078999810717	0.355910776083	1.0	2.25	0.0	31.25	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_sp_14018
AM901917	9.82155727156	0.080452143965	0.355910776083	1.0	125.75	0.25	116.5	491.0	54.25	119.666666667	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
AF191550	9.78665896251	0.0815108432394	0.355910776083	1.0	3.5	0.0	0.0	0.0	0.0	27.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Ophiosphaerella; s__Ophiosphaerella_agrostis
GQ516443	9.77864044168	0.0817559145965	0.355910776083	1.0	70.25	0.25	19.25	0.0	0.0	165.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HM488368	9.7716025641	0.0819715763814	0.355910776083	1.0	3.0	0.0	0.0	0.0	0.0	47.0	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Incertae_sedis; g__Rhodotorula; s__Rhodotorula_sp_RhSoW01
GU721592	9.7716025641	0.0819715763814	0.355910776083	1.0	2.0	0.0	0.0	0.0	0.0	7.66666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU17	9.7716025641	0.0819715763814	0.355910776083	1.0	22.25	0.0	0.0	0.0	0.0	82.6666666667	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU0	9.65346153846	0.0856712622461	0.365722699336	1.0	0.0	725.5	0.0	0.0	7.75	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedyeast
New.CleanUp.ReferenceOTU1523	9.65346153846	0.0856712622461	0.365722699336	1.0	5.25	0.0	2.25	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricostilbomycetes; o__Agaricostilbales; f__Chionosphaeraceae; g__Kurtzmanomyces; s__Kurtzmanomyces_insolitus
FM866348	9.49025641026	0.0910361814998	0.379607552633	1.0	10.75	0.0	0.0	0.0	0.0	34.3333333333	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedCryptococcus
New.ReferenceOTU20	9.4275682183	0.093177921462	0.379607552633	1.0	0.0	1051.0	142.75	0.0	3497.25	8.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_humilis
JN395219	9.41203703704	0.093715661392	0.379607552633	1.0	1.0	0.0	0.5	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cercospora; s__Cercospora_sp_CPC_15875
HQ630982	9.35194805195	0.0958231195185	0.379607552633	1.0	9.25	0.0	88.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Trichosphaeriales; f__Incertae_sedis; g__Nigrospora; s__Nigrospora_sp_TMS_2011
JF715197	9.30244122966	0.0975920476036	0.379607552633	1.0	0.25	89.0	7.25	7.0	0.0	2.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_kudriavzevii
New.CleanUp.ReferenceOTU264	9.13586956522	0.103765963908	0.379607552633	1.0	0.25	9.5	1.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_kudriavzevii
FJ213520	9.12730769231	0.104092760821	0.379607552633	1.0	9.25	0.0	69.5	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Eurotium; s__Eurotium_sp_BF106
GQ525731	9.12730769231	0.104092760821	0.379607552633	1.0	6.25	0.0	32.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU713	9.12730769231	0.104092760821	0.379607552633	1.0	10.25	0.0	0.0	0.0	23.5	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU1755	9.12730769231	0.104092760821	0.379607552633	1.0	4.75	8.75	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedendophytic_fungus
New.ReferenceOTU12	8.87000639182	0.114362860845	0.379607552633	1.0	63.75	0.0	11.75	0.0	24.5	71.6666666667	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_5_TMS_2011
New.ReferenceOTU18	8.70405405405	0.121466818284	0.379607552633	1.0	57.75	0.0	32.5	0.0	15.25	190.333333333	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Trichosporonaceae; g__Asterotremella; s__Asterotremella_humicola
GQ510266	8.44444444444	0.13338289043	0.379607552633	1.0	0.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cercospora; s__Cercospora_sp_CPC_15875
EU490021	8.44444444444	0.13338289043	0.379607552633	1.0	0.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
DQ267827	8.44444444444	0.13338289043	0.379607552633	1.0	0.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_sp_2_TMS_2011
