OTU	Test-Statistic	P	FDR_P	Bonferroni_P	0_mean	168_mean	140_mean	84_mean	112_mean	taxonomy
502919	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas; s__
524676	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	1.42857142857	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Oribacterium; s__
822670	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
4447605	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
398192	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__
2996799	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
195258	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
297334	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
70580	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae
499118	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
712179	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
838293	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
983098	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Capnocytophaga; s__
556247	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
3230031	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__
341953	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
583425	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__
4437011	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
725402	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae
758418	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__
802899	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Schwartzia; s__
513757	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
628226	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
551822	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
158804	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
585480	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__
12589	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
790466	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
4315097	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
470724	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__subflava
