OTU	Test-Statistic	P	FDR_P	Bonferroni_P	right palm_mean	left palm_mean	tongue_mean	gut_mean	taxonomy
905211	18.3322744774	0.000375617181062	0.0116045669927	0.84175810276	1.33333333333	4.125	8.88888888889	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa
923098	18.3188817523	0.000378015792265	0.0116045669927	0.847133390466	0.777777777778	1.75	10.7777777778	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
4430826	18.2456923723	0.000391395502599	0.01177338972	0.877117321323	0.222222222222	0.625	3.44444444444	0.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__
580312	18.231615328	0.000394022413653	0.01177338972	0.883004228997	1.66666666667	2.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
589277	18.0565433667	0.000428195193375	0.0126261240573	0.959585428353	47.5555555556	2.0	0.666666666667	216.5	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1065569	17.9590615568	0.000448484045176	0.013052633055	1.0	2.66666666667	1.25	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli
1099914	17.8115039656	0.000481027742843	0.0138202970732	1.0	1.55555555556	2.25	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__
580008	17.5126646403	0.000554302234649	0.0157239406057	1.0	0.111111111111	0.125	0.0	3.5	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__
1088265	17.474728087	0.000564364750432	0.0158092675715	1.0	5.11111111111	6.125	0.111111111111	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__acnes
195115	17.3292038576	0.000604677285251	0.0167294048919	1.0	0.333333333333	0.0	0.0	0.875	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
993610	17.2887809095	0.000616374447584	0.0168450626468	1.0	5.77777777778	11.875	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__; s__
1097208	17.2124111206	0.000639090748644	0.0172554502134	1.0	57.0	55.125	0.555555555556	0.125	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis
571178	16.969967457	0.000716865083162	0.0191249363258	1.0	0.222222222222	0.0	0.0	1.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
352304	16.8025116328	0.000776005972294	0.0204591692225	1.0	0.555555555556	0.0	0.0	4.375	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
579608	16.4814294151	0.000903291574542	0.0231126616493	1.0	11.6666666667	10.125	18.0	0.75	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
370287	16.4697315096	0.000908301280506	0.0231126616493	1.0	0.222222222222	0.625	0.0	20.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
368261	16.4575617284	0.000913542363074	0.0231126616493	1.0	0.555555555556	0.125	0.0	4.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
New.CleanUp.ReferenceOTU169	16.4474826389	0.000917905795086	0.0231126616493	1.0	0.0	0.125	2.11111111111	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Moryella; s__
198449	16.1424675708	0.00106020972515	0.0263992221562	1.0	1.88888888889	0.125	0.0	3.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1101669	16.0249019529	0.00112073125695	0.0273908215456	1.0	3.77777777778	4.375	3.66666666667	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae; g__; s__
110514	16.0178321162	0.00112447817144	0.0273908215456	1.0	7.77777777778	2.875	0.0	0.0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
173863	15.8465070137	0.00121917980077	0.0293783003604	1.0	1.11111111111	0.0	0.0	1.375	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
New.CleanUp.ReferenceOTU963	15.8045977011	0.00124352604194	0.0296461899999	1.0	0.0	0.0	0.555555555556	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar
153978	15.7424175174	0.00128054018953	0.0301404355375	1.0	2.66666666667	1.75	0.0	0.0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
2914680	15.7090053763	0.00130087916432	0.0301404355375	1.0	0.0	0.0	0.777777777778	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae
851938	15.7029391777	0.00130460608975	0.0301404355375	1.0	0.111111111111	0.625	1.66666666667	0.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia; s__moorei
4397500	15.6566443436	0.00133339980089	0.0304140392457	1.0	3.66666666667	4.5	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__; s__
535375	15.6404945408	0.00134359209519	0.0304140392457	1.0	47.8888888889	1.125	0.444444444444	117.625	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
503389	15.6074774974	0.00136467075478	0.0305822716146	1.0	4.0	5.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
New.CleanUp.ReferenceOTU1503	15.58286397	0.00138059772148	0.0306328662757	1.0	0.111111111111	0.375	1.22222222222	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__
4298291	15.5421017403	0.00140738100051	0.0309209884523	1.0	0.333333333333	0.5	6.66666666667	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica
514272	15.4492936486	0.00147030078828	0.0319897482188	1.0	0.666666666667	0.125	0.0	3.75	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
451449	15.3447070573	0.00154455666595	0.0331128996914	1.0	1.66666666667	1.5	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__
633252	15.335218911	0.00155147455046	0.0331128996914	1.0	19.8888888889	19.25	0.111111111111	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
314582	15.2107588358	0.00164511755627	0.0342840225814	1.0	0.111111111111	0.0	0.0	1.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
New.CleanUp.ReferenceOTU793	15.2107588358	0.00164511755627	0.0342840225814	1.0	0.111111111111	0.0	0.0	1.25	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
813617	15.2015794946	0.00165224205211	0.0342840225814	1.0	24.6666666667	48.75	0.333333333333	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
716006	15.0797550539	0.00174974569722	0.0356669912415	1.0	7.33333333333	11.625	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
300586	15.0785690405	0.00175072246165	0.0356669912415	1.0	4.0	4.25	0.111111111111	0.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae
196553	15.0171334836	0.00180206560522	0.0361168437057	1.0	0.111111111111	0.0	0.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
269907	15.0136321118	0.00180503636548	0.0361168437057	1.0	9.33333333333	5.75	1.11111111111	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__
4403854	14.9704674053	0.00184206130785	0.0365314990345	1.0	0.222222222222	0.375	1.77777777778	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__parvula
574102	14.8822021691	0.0019201331253	0.0377457748579	1.0	2.0	3.5	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter; s__
3472078	14.8258101852	0.00197172189434	0.0382665701921	1.0	0.111111111111	0.0	0.0	0.875	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
503236	14.8160627653	0.00198077739504	0.0382665701921	1.0	2.88888888889	1.375	0.0	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__
2472603	14.7756829796	0.00201873228578	0.0386664876276	1.0	3.33333333333	4.875	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
904345	14.6716243222	0.00211989894717	0.040260114751	1.0	1.77777777778	5.875	10.2222222222	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__
New.CleanUp.ReferenceOTU1840	14.5411706349	0.00225385586708	0.0424444621691	1.0	0.111111111111	0.0	0.0	0.625	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
514086	14.3750721126	0.002436622766	0.0437997071689	1.0	0.222222222222	0.0	0.0	1.5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
348009	14.3750721126	0.002436622766	0.0437997071689	1.0	0.222222222222	0.0	0.0	1.375	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
581079	14.3421828909	0.00247451829463	0.0437997071689	1.0	1.22222222222	0.0	0.0	1.75	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
