OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C_mean	C-NS_mean	S2-NS_mean	S2-3H_mean	C-3H-LATE_mean	C-3H_mean	S2-3H-LATE_mean	taxonomy
HM487058	14.2947494033	0.0265114681033	0.154458118515	1.0	27.75	1.0	2.0	3.25	5.25	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedDikarya
New.ReferenceOTU6	13.9376321353	0.0303406597682	0.173839497149	1.0	0.0	17.5	80.5	8.0	0.0	57.25	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedPezizomycotina
New.CleanUp.ReferenceOTU371	13.7931493416	0.0320341118323	0.173839497149	1.0	44.5	75.25	37.25	19.0	16.75	17.75	1.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_quercitrusa
JN906448	13.7184194151	0.0329447090227	0.173839497149	1.0	0.0	1.5	1.5	4.25	0.75	1.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AM901773	13.6799258038	0.0334232541387	0.173839497149	1.0	79.25	23.5	34.0	4.5	3.5	44.5	22.75	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
DQ447767	13.570441989	0.0348204854753	0.173839497149	1.0	32.75	0.0	0.0	0.5	0.5	0.0	0.0	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__basidiomycete_yeast_sp_DX_2006Q
New.ReferenceOTU12	13.0898513251	0.0416310839904	0.173839497149	1.0	0.0	154.5	61.0	46.25	1.25	113.25	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_intermedia
HQ630976	12.5943258972	0.0499499796476	0.173839497149	1.0	86.25	27.25	22.75	0.0	14.5	2.25	1.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JQ666400	12.5540062288	0.0506911412851	0.173839497149	1.0	1076.0	9.0	9.75	67.75	1.25	16.5	17.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ758156	12.4615384615	0.052429814595	0.173839497149	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AB237662	12.4615384615	0.052429814595	0.173839497149	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Gibberella; s__Gibberella_fujikuroi
EU489902	12.4615384615	0.052429814595	0.173839497149	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AY154690	12.4615384615	0.052429814595	0.173839497149	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Lewia; s__Lewia_infectoria
New.CleanUp.ReferenceOTU21	12.4615384615	0.052429814595	0.173839497149	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
New.CleanUp.ReferenceOTU77	12.4615384615	0.052429814595	0.173839497149	1.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
