Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C/90	LB+LP/30	147.62	12.0370095954	41.3	4.05647630339	14.9166236585	1.0
C-AS/90+50h	LB-AS/90	77.16	16.6272787912	67.36	10.490872223	0.996936253338	1.0
LB/90+50h	LB+LP/30+120h	68.22	5.55027927225	39.925	1.60058583025	8.706950241	1.0
LB/30	LB/90+50h	42.125	4.85096639856	68.22	5.55027927225	-6.53338290364	1.0
C/30+120h	C-AS/90+140h	101.9	13.6486263045	78.48	22.7908227144	1.59775548752	1.0
C/90	C/90+140h	147.62	12.0370095954	100.06	20.7340878748	3.96749587718	1.0
LB+LP/90	C/30	75.52	4.86555238385	176.625	13.8035095175	-13.438379269	0.231
C/30	C/90+140h	176.625	13.8035095175	100.06	20.7340878748	5.59632280244	1.0
LB-AS/90+140h	C/90+140h	90.95	12.4357347994	100.06	20.7340878748	-0.682920414944	1.0
LB+LP/90+140h	LB+LP/90+50h	83.08	10.3590347041	65.84	8.7860343728	2.53842516272	1.0
LB-AS/90+140	LB/90	73.3	0.0	66.12	5.114841151	1.14616373764	1.0
LB+LP/90	C/90+140h	75.52	4.86555238385	100.06	20.7340878748	-2.30451490137	1.0
C/30+120h	LB-AS/90+140h	101.9	13.6486263045	90.95	12.4357347994	1.02716578598	1.0
LB/30+120h	LB/90	37.9	2.1	66.12	5.114841151	-9.13508509243	1.0
LB/30	C/90+140h	42.125	4.85096639856	100.06	20.7340878748	-4.8239992962	1.0
LB/90+50h	C/90+140h	68.22	5.55027927225	100.06	20.7340878748	-2.96681303117	1.0
C/90+50h	LB-AS/90	137.06	9.34443149689	67.36	10.490872223	9.92235410595	0.924
LB+LP/90+140h	C-AS/90+50h	83.08	10.3590347041	77.16	16.6272787912	0.604383774202	1.0
C/90	LB/90	147.62	12.0370095954	66.12	5.114841151	12.4630558657	1.0
C/90+140h	LB+LP/30+120h	100.06	20.7340878748	39.925	1.60058583025	5.1034913373	1.0
C/90	LB+LP/30+120h	147.62	12.0370095954	39.925	1.60058583025	15.6705635075	0.462
LB-AS/90+50h	LB+LP/90	66.66	11.8376686894	75.52	4.86555238385	-1.38452711705	1.0
LB+LP/90+140h	LB+LP/30	83.08	10.3590347041	41.3	4.05647630339	6.7139832358	1.0
LB/30	C/30	42.125	4.85096639856	176.625	13.8035095175	-15.9223173311	1.0
LB+LP/90	LB/90	75.52	4.86555238385	66.12	5.114841151	2.66311393137	1.0
LB/30+120h	C-AS/90	37.9	2.1	128.68	19.9097363117	-8.00678813321	1.0
LB/90+140h	LB/30+120h	80.86	8.10718200116	37.9	2.1	9.10538572295	1.0
LB/30	LB/90	42.125	4.85096639856	66.12	5.114841151	-6.31007492648	1.0
LB-AS/90+50h	C/90+140h	66.66	11.8376686894	100.06	20.7340878748	-2.79786360861	1.0
