	sequences per sample	iteration	L1S140	L1S208	L1S8	L1S281	L3S242	L2S309	L2S357	L4S112	L2S155	L2S382	L4S63	L2S222	L3S341	L3S360	L2S204	L4S137	L3S294	L2S175	L5S203	L6S93	L6S20	L6S68	L1S257	L3S378	L1S105	L5S174	L5S155	L5S222	L5S104	L1S57	L1S76	L5S240	L3S313	L2S240
alpha_rarefaction_230_7.txt	230	7	115.272727273	189.111111111	87.0	186.0	60.0	291.714285714	217.352941176	234.5	224.0	158.333333333	290.15	558.333333333	359.0	524.5625	211.0625	231.058823529	204.066666667	196.9375	95.625	189.0	86.2307692308	123.857142857	234.142857143	163.25	106.769230769	116.0	101.75	129.25	45.8571428571	205.6	163.083333333	92.6	286.571428571	131.5
alpha_rarefaction_230_8.txt	230	8	213.0	228.5	61.0	135.0	87.0	280.4375	262.875	457.6	259.1	264.375	330.0	350.0	239.526315789	440.473684211	367.333333333	309.0	147.461538462	226.071428571	74.6666666667	59.1666666667	93.4285714286	63.375	179.1	157.083333333	160.428571429	86.3636363636	89.2	64.375	252.0	139.571428571	122.0	58.125	233.769230769	110.0
alpha_rarefaction_230_9.txt	230	9	123.6	125.75	117.5	209.6	134.0	257.0	245.545454545	192.3125	323.8	270.166666667	259.052631579	579.4375	336.0	542.666666667	288.047619048	207.066666667	189.8	198.117647059	128.5	90.1	103.0	89.0	139.230769231	165.272727273	103.5	91.875	63.8571428571	72.3	64.0	133.0	118.076923077	94.25	212.428571429	120.333333333
alpha_rarefaction_340_0.txt	340	0	174.0	174.4375	141.25	227.0	93.875	308.260869565	232.166666667	343.0	279.565217391	319.5	272.228571429	482.153846154	472.619047619	424.033333333	367.882352941	235.615384615	346.0	337.714285714	154.0	97.9090909091	93.8	91.0714285714	248.571428571	166.461538462	212.272727273	112.5	116.0	78.0909090909	95.8571428571	235.583333333	110.0	108.5	309.75	89.9090909091
alpha_rarefaction_340_1.txt	340	1	168.0	235.583333333	147.5	277.545454545	116.0	374.666666667	255.055555556	346.0	275.476190476	316.888888889	406.315789474	423.228571429	353.0	592.045454545	291.789473684	280.884615385	265.0	274.0	137.857142857	139.5	104.666666667	98.875	229.153846154	225.583333333	216.0	66.1	158.142857143	244.0	149.5	158.928571429	264.0	107.666666667	405.153846154	160.625
alpha_rarefaction_340_2.txt	340	2	266.0	294.6	119.333333333	167.666666667	120.428571429	368.052631579	406.272727273	359.214285714	257.730769231	247.1	527.0	470.756756757	343.115384615	527.869565217	426.285714286	216.142857143	176.5	287.0	114.0	89.5454545455	90.625	96.8571428571	182.4	262.0	159.571428571	84.2727272727	68.375	89.5	100.5	295.142857143	124.928571429	91.625	250.545454545	170.6
alpha_rarefaction_340_3.txt	340	3	158.3	247.4	163.857142857	224.333333333	511.5	317.894736842	410.545454545	382.071428571	304.235294118	233.689655172	543.5	470.0	324.1	472.130434783	394.375	270.375	251.375	189.12	214.5	226.5	76.875	106.333333333	225.615384615	203.071428571	187.8	110.5	89.5	106.5	142.666666667	169.3	136.363636364	161.6	223.107142857	116.583333333
alpha_rarefaction_340_4.txt	340	4	248.3	279.461538462	251.2	354.0	104.666666667	410.789473684	408.714285714	318.2	265.588235294	242.615384615	428.037037037	491.689655172	363.565217391	582.0	256.157894737	243.035714286	246.166666667	249.619047619	127.5	218.111111111	110.6	108.75	221.111111111	171.230769231	273.5	78.1111111111	107.0	98.4285714286	148.0	154.272727273	179.0	95.6	283.833333333	113.769230769
alpha_rarefaction_340_5.txt	340	5	233.375	270.333333333	102.75	260.928571429	111.0	322.476190476	254.055555556	311.5	382.769230769	291.75	396.956521739	482.451612903	458.25	567.75	344.526315789	348.142857143	328.5	252.0	105.272727273	116.6	87.3333333333	110.166666667	216.333333333	149.090909091	170.083333333	139.0	105.75	84.0833333333	113.375	228.1	118.4	78.0909090909	313.666666667	121.0
alpha_rarefaction_340_6.txt	340	6	150.2	165.526315789	257.0	203.3125	124.5	456.0	246.619047619	331.058823529	262.214285714	277.833333333	466.058823529	485.0	255.0	479.541666667	438.0	311.12	312.090909091	265.44	169.6	124.090909091	94.6	127.545454545	175.5	236.0	206.666666667	132.125	99.6	93.5	111.0	246.0	202.545454545	101.0	342.555555556	110.0
alpha_rarefaction_340_7.txt	340	7	155.666666667	239.5	104.666666667	215.769230769	154.142857143	358.142857143	244.0	306.5	294.526315789	214.375	520.0	496.615384615	379.869565217	515.111111111	360.555555556	213.260869565	245.166666667	278.285714286	129.333333333	156.5	130.0	147.0	202.545454545	250.111111111	177.111111111	117.0	84.0	70.25	94.1666666667	260.875	196.0	82.5	317.05	189.25
alpha_rarefaction_340_8.txt	340	8	129.909090909	276.272727273	248.166666667	301.6	191.25	323.125	294.833333333	280.05	247.8	222.081081081	513.0	431.527777778	418.0	532.391304348	354.25	293.0	214.235294118	277.884615385	101.0	114.666666667	75.4615384615	105.333333333	153.5	172.0	231.125	110.6	118.0	111.0	155.5	223.857142857	184.875	98.0	282.0	145.111111111
alpha_rarefaction_340_9.txt	340	9	191.909090909	218.428571429	115.5	209.25	113.666666667	603.0	558.111111111	379.4	290.315789474	241.885714286	396.5	523.028571429	337.0	588.045454545	238.5	217.5	220.769230769	293.789473684	119.111111111	156.0	104.666666667	75.0	283.1	163.058823529	155.214285714	164.428571429	123.333333333	79.875	90.5	185.1	126.583333333	93.0	316.352941176	104.545454545
