Sample	Top over-represented sequence	Sum of remaining over-represented sequences
5101-1150-MS515F-926R.extendedFrags	45.2687485294	45.5780026219
5101-1151-MS515F-926R.extendedFrags	39.8902537534	51.0877134342
5101-1152-MS515F-926R.extendedFrags	36.6901451211	54.0075292975
5101-1153-MS515F-926R.extendedFrags	46.3034717917	45.8772473652
5101-1154-MS515F-926R.extendedFrags	49.2912950287	42.363271797
5101-1155-MS515F-926R.extendedFrags	45.0927835052	47.5670103093
5101-1156-MS515F-926R.extendedFrags	43.129888054	47.7457445177
5101-1157-MS515F-926R.extendedFrags	35.68359375	54.39453125
5101-1158-MS515F-926R.extendedFrags	44.1696948211	47.2480723212
5101-1159-MS515F-926R.extendedFrags	46.5558258989	44.9580967829
5101-1160-MS515F-926R.extendedFrags	38.8045585662	51.3453444933
5101-1161-MS515F-926R.extendedFrags	37.2783422993	52.7346084877
5101-1162-MS515F-926R.extendedFrags	36.7437879207	53.8078094711
5101-447-MS515F-926R.extendedFrags	25.257366959	64.4025636836
5101-448-MS515F-926R.extendedFrags	29.0027362816	61.0689986688
5101-449-MS515F-926R.extendedFrags	27.9314430462	62.4836574604
5101-450-MS515F-926R.extendedFrags	23.201174743	66.6014031653
5101-451-MS515F-926R.extendedFrags	22.0144041507	67.7666309889
5101-452-MS515F-926R.extendedFrags	53.1545996907	37.9111733078
5101-453-MS515F-926R.extendedFrags	49.0667985097	42.6288559674
5101-454-MS515F-926R.extendedFrags	49.3193891102	41.8260292165
5101-455-MS515F-926R.extendedFrags	51.2474476774	40.5197166922
5101-456-MS515F-926R.extendedFrags	50.325329458	41.5034514648
5101-457-MS515F-926R.extendedFrags	47.0412376913	44.1674919188
5101-458-MS515F-926R.extendedFrags	49.3501393226	42.3353842126
5101-459-MS515F-926R.extendedFrags	50.3305348655	41.421573091
5101-460-MS515F-926R.extendedFrags	50.6743536511	40.6046032291
5101-461-MS515F-926R.extendedFrags	47.0565335139	44.2738659445
5101-757-MS515F-926R.extendedFrags	38.8785473448	50.6199072773
5101-758-MS515F-926R.extendedFrags	36.9008522949	53.2449761514
5101-759-MS515F-926R.extendedFrags	24.4725444837	65.3662184962
5101-760-MS515F-926R.extendedFrags	31.6188232812	57.7390264911
5101-761-MS515F-926R.extendedFrags	26.9201199354	62.6816329669
5101-762-MS515F-926R.extendedFrags	49.8190120008	41.3028131994
5101-763-MS515F-926R.extendedFrags	52.5282514417	38.94113441
5101-764-MS515F-926R.extendedFrags	45.9914488974	44.4710557596
5101-765-MS515F-926R.extendedFrags	47.1163363349	44.36182797
5101-766-MS515F-926R.extendedFrags	51.0042269422	40.1034419386
