OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C_mean	C-LATE_mean	C-NO_mean	LB500-LATE_mean	LB500-EARLY_mean	C-EARLY_mean	LB500-NO_mean	taxonomy
New.CleanUp.ReferenceOTU1168	13.5661263347	0.034876675741	0.200081981882	1.0	9.5	0.0	2.0	0.0	12.0	0.75	1.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
AM901893	13.3857913669	0.0373026058927	0.211770002203	1.0	23.0	0.0	0.0	347.0	0.0	0.25	25.5	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
HM487012	13.0411392405	0.0423872843864	0.222459484901	1.0	30.0	0.25	2.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cercospora; s__Cercospora_sp_CPC_15875
New.ReferenceOTU29	12.6543398533	0.048865511297	0.222459484901	1.0	114.0	33.25	610.75	246.25	1803.33333333	231.0	795.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_quercitrusa
GQ866206	12.5916426513	0.0499989875411	0.222459484901	1.0	3.0	0.0	31.75	0.25	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_sp_14018
HM037642	12.5584874165	0.0506082634246	0.222459484901	1.0	239.75	0.0	167.0	0.0	367.0	43.0	21.75	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
JN636813	12.4577777778	0.0525016897388	0.222459484901	1.0	0.0	0.25	0.0	0.0	2948.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__unidentified; g__unidentified; s__Sporidiobolales_sp_G5
GU174360	12.4552699229	0.0525496715211	0.222459484901	1.0	4.25	0.0	0.0	1.25	11.0	0.0	2.75	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unculturedDothideomycetes
FJ524297	12.3886837533	0.0538386796696	0.222459484901	1.0	1.5	0.25	9.5	0.0	0.0	1.75	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedendophytic_fungus
New.ReferenceOTU9	12.3711382114	0.054183203208	0.222459484901	1.0	182.5	2.5	25.0	13.25	0.0	8.5	164.75	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_sp_CBS_10854
