#SampleID	days_since_epoch	Subject_SampleType
14392.M3.feces	14392	M3_feces
14394.M3.feces	14394	M3_feces
14395.M3.feces	14395	M3_feces
14396.M3.feces	14396	M3_feces
14397.M3.feces	14397	M3_feces
14398.M3.feces	14398	M3_feces
14399.M3.feces	14399	M3_feces
14400.M3.feces	14400	M3_feces
14401.M3.feces	14401	M3_feces
14402.M3.feces	14402	M3_feces
14404.M3.feces	14404	M3_feces
14405.M3.feces	14405	M3_feces
14406.M3.feces	14406	M3_feces
14407.M3.feces	14407	M3_feces
14408.M3.feces	14408	M3_feces
14409.M3.feces	14409	M3_feces
14410.M3.feces	14410	M3_feces
14411.M3.feces	14411	M3_feces
14412.M3.feces	14412	M3_feces
14413.M3.feces	14413	M3_feces
14414.M3.feces	14414	M3_feces
14416.M3.feces	14416	M3_feces
14417.M3.feces	14417	M3_feces
14418.M3.feces	14418	M3_feces
14419.M3.feces	14419	M3_feces
14420.M3.feces	14420	M3_feces
14421.M3.feces	14421	M3_feces
14422.M3.feces	14422	M3_feces
14423.M3.feces	14423	M3_feces
14424.M3.feces	14424	M3_feces
14425.M3.feces	14425	M3_feces
14426.M3.feces	14426	M3_feces
14428.M3.feces	14428	M3_feces
14429.M3.feces	14429	M3_feces
14430.M3.feces	14430	M3_feces
14431.M3.feces	14431	M3_feces
14432.M3.feces	14432	M3_feces
14433.M3.feces	14433	M3_feces
14435.M3.feces	14435	M3_feces
14436.M3.feces	14436	M3_feces
14437.M3.feces	14437	M3_feces
14439.M3.feces	14439	M3_feces
14441.M3.feces	14441	M3_feces
14442.M3.feces	14442	M3_feces
14444.M3.feces	14444	M3_feces
14445.M3.feces	14445	M3_feces
14446.M3.feces	14446	M3_feces
14448.M3.feces	14448	M3_feces
14449.M3.feces	14449	M3_feces
14452.M3.feces	14452	M3_feces
14454.M3.feces	14454	M3_feces
14455.M3.feces	14455	M3_feces
14458.M3.feces	14458	M3_feces
14459.M3.feces	14459	M3_feces
14460.M3.feces	14460	M3_feces
14463.M3.feces	14463	M3_feces
14465.M3.feces	14465	M3_feces
14467.M3.feces	14467	M3_feces
14468.M3.feces	14468	M3_feces
14469.M3.feces	14469	M3_feces
