	L1S140	L1S208	L1S8	L1S281	L3S242	L2S309	L2S357	L4S112	L2S155	L2S382	L4S63	L2S222	L3S341	L3S360	L2S204	L4S137	L3S294	L2S175	L5S203	L6S93	L6S20	L6S68	L1S257	L3S378	L1S105	L5S174	L5S155	L5S222	L5S104	L1S57	L1S76	L5S240	L3S313	L2S240
L4S63	0.864863766309	0.901608370817	0.887422687569	0.90672008231	0.836385123073	0.500659813902	0.515392840376	0.498908883021	0.523353069829	0.680418299654	0.0	0.523056525486	0.488806353636	0.503518728605	0.482139223295	0.653034189418	0.537347878992	0.568688127395	0.747836793797	0.778313901649	0.783787841066	0.738837634509	0.911728754471	0.861469836965	0.819809696982	0.782856565765	0.804280800046	0.76446180624	0.708035044591	0.908924255143	0.888429277068	0.75458778282	0.521392179079	0.703143254184
L2S222	0.847006512153	0.888870106971	0.891879915336	0.898967687265	0.821062898216	0.554453130262	0.554402607849	0.50574318197	0.542720927022	0.673509049437	0.523056525486	0.0	0.485867216879	0.452399771497	0.480773676865	0.668508168131	0.591429512132	0.58738093461	0.765805965462	0.777717157361	0.797147167063	0.762183971271	0.893981014383	0.855014687474	0.814985150385	0.797469117704	0.81731194274	0.768932357889	0.711076549144	0.883875688723	0.866989554621	0.752132760705	0.567741199687	0.726382639058
L3S341	0.823944773612	0.871493685849	0.874780376174	0.88380903053	0.803930402408	0.533822446414	0.48098740726	0.453778545314	0.489476637467	0.667389166758	0.488806353636	0.485867216879	0.0	0.488247474452	0.428010786067	0.650366183885	0.53900424841	0.525969445567	0.745695037212	0.763430595871	0.773841376282	0.745087989013	0.870230214744	0.837413818727	0.804803258125	0.773094570262	0.810460290423	0.748518941247	0.674755447565	0.872242463089	0.851125402762	0.712040157103	0.546148116126	0.697540025082
L3S360	0.848345653107	0.899149540546	0.887922288175	0.904372874837	0.825580633094	0.541573520969	0.546141912812	0.483671208497	0.532095769542	0.69286834404	0.503518728605	0.452399771497	0.488247474452	0.0	0.448813010744	0.676299034457	0.601838678024	0.57369213981	0.76893679284	0.790549281508	0.790051631844	0.757116519142	0.891439350575	0.852491080501	0.827030581081	0.797768633194	0.804923220697	0.775244174705	0.709274214452	0.899239790047	0.880912174376	0.752083374921	0.577257875844	0.721560413331
L2S204	0.839799574632	0.893198376285	0.872251651982	0.899969598857	0.805454370739	0.522157058338	0.510108003069	0.473547319733	0.498566814813	0.670008525642	0.482139223295	0.480773676865	0.428010786067	0.448813010744	0.0	0.675798909883	0.570563470225	0.551078551546	0.745991250527	0.772538296072	0.770941111829	0.743738608832	0.88488715745	0.852903498408	0.80491298398	0.785277990633	0.796380681512	0.753463251131	0.676313311473	0.890166892392	0.865972036351	0.72306156901	0.538602371451	0.709156939072
L4S137	0.830051355095	0.896984485371	0.883199438421	0.902651081904	0.803385510061	0.662813690451	0.5932579694	0.629337285409	0.613194003075	0.323473088537	0.653034189418	0.668508168131	0.650366183885	0.676299034457	0.675798909883	0.0	0.63194722891	0.544888113513	0.592809096152	0.546375143737	0.618253152854	0.558692424049	0.906348808182	0.833802721031	0.778096631505	0.592669828769	0.689581488816	0.538019817859	0.547212787722	0.892993899663	0.874540481105	0.620775092622	0.539824954935	0.5474103767
L3S294	0.815360734512	0.866285576148	0.859923313469	0.883466240999	0.789403099905	0.518547907026	0.514012544218	0.548389365593	0.519419508263	0.654170962392	0.537347878992	0.591429512132	0.53900424841	0.601838678024	0.570563470225	0.63194722891	0.0	0.49826856925	0.672043142048	0.752583879707	0.74635242726	0.703877290689	0.888363080348	0.823110995476	0.794968475777	0.754401395733	0.757375350187	0.728965062955	0.630161064736	0.87760849416	0.852006296514	0.695214698295	0.488271359814	0.650773945418
L2S175	0.811834036662	0.880498579815	0.851021121867	0.871713512619	0.762304415014	0.528643513739	0.47211244201	0.52320682447	0.510729169132	0.546187529354	0.568688127395	0.58738093461	0.525969445567	0.57369213981	0.551078551546	0.544888113513	0.49826856925	0.0	0.641464595907	0.638017437053	0.687803317736	0.598897634759	0.883430218059	0.814755942348	0.776985017066	0.661015585571	0.707373063136	0.656685510936	0.564627547836	0.879584360403	0.854815105945	0.575154526427	0.476801480899	0.547466835022
L5S203	0.796102311005	0.851580021523	0.828899872571	0.855748780183	0.707726373359	0.708516441556	0.665216260268	0.696359557746	0.727213982649	0.589192028219	0.747836793797	0.765805965462	0.745695037212	0.76893679284	0.745991250527	0.592809096152	0.672043142048	0.641464595907	0.0	0.441086767251	0.455324773843	0.390433026625	0.866177927518	0.793494360668	0.754525928671	0.409358561962	0.465773802802	0.381170440904	0.455560906571	0.850580922384	0.824560415177	0.43088718676	0.655884253009	0.479273184029
L6S93	0.820930477195	0.878101455815	0.837977907614	0.897911292525	0.718300191375	0.779322557438	0.677545072975	0.732034419727	0.740318903583	0.586642135294	0.778313901649	0.777717157361	0.763430595871	0.790549281508	0.772538296072	0.546375143737	0.752583879707	0.638017437053	0.441086767251	0.0	0.393065300004	0.422846729816	0.878430754119	0.821243317006	0.767109703725	0.302673488843	0.544110668002	0.392610142492	0.447986704671	0.856259732472	0.834383804276	0.459718534395	0.710605452596	0.499959931984
