# Constructed from biom file
#OTU ID	C-AS/90	C-AS/90+50h	C-AS/90+140h	C/30	C/30+120h	C/90	C/90+50h	C/90+140h	LB+LP/30	LB+LP/30+120h	LB+LP/90	LB+LP/90+50h	LB+LP/90+140h	LB-AS/90	LB-AS/90+50h	LB-AS/90+140	LB-AS/90+140h	LB/30	LB/30+120h	LB/90	LB/90+50h	LB/90+140h
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	0.0	0.0	0.0046101007307	0.0	0.00165713158414	0.0	0.0	0.000642288258971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21629346729e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.0	0.0	2.30505036535e-05	0.0	0.0	0.0	1.14865951435e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	4.3900661583e-06	0.0	4.6101007307e-05	0.0	0.0	1.44338329043e-05	0.0	0.0	0.0	0.0	0.0	0.0	7.3487264657e-06	4.40102103688e-06	0.0	0.0	1.47623265427e-05	0.0	0.0	1.5182628037e-05	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	0.0	0.0	0.0	0.0	0.0	1.92451105391e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	4.82907277413e-05	9.16552097654e-05	0.0	0.0	0.0	1.44338329043e-05	4.59463805739e-05	0.0	0.0	0.0	1.62172462305e-05	0.0	0.0	3.96091893319e-05	0.0	0.0	0.0	0.0	0.0	1.89782850463e-05	0.0	4.84099743911e-06
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	2.19503307915e-05	0.0	0.0	0.0	0.0	2.88676658087e-05	4.59463805739e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.32030631106e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__	0.0	0.0	0.0	0.0	0.0	1.92451105391e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5182628037e-05	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other	0.0	0.0	9.2202014614e-05	0.0	0.0	0.0	0.0	0.000449601781279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	8.78013231659e-06	4.16614589843e-05	0.0153055344259	0.000997672098437	0.000631288222529	1.44338329043e-05	2.87164878587e-05	0.0644215123748	0.0	0.0	1.21629346729e-05	0.0	2.20461793971e-05	0.0	1.17653979646e-05	0.0	0.0	0.0	0.0	3.79565700925e-06	4.62228960493e-06	4.84099743911e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	0.0	0.0	0.00341147454072	0.0	0.00019727756954	0.0	0.0	0.0117538751392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000125865933417
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.0	8.33229179686e-06	0.00186709079593	3.91243960171e-05	0.000394555139081	0.0	0.0	0.010190973709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	4.3900661583e-06	2.49968753906e-05	0.0	0.00133022946458	0.0	0.0	1.14865951435e-05	0.0	0.0	1.33897488083e-05	4.05431155763e-06	0.0	2.93949058628e-05	8.80204207376e-06	0.0	0.0	0.0	0.0	0.0	0.000334017816814	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	5.26807938996e-05	4.99937507812e-05	0.000138303021921	0.000156497584069	0.00122312093115	0.000125093218504	4.59463805739e-05	0.000663697867603	3.89828085814e-05	1.33897488083e-05	6.4868984922e-05	4.40311388214e-06	2.93949058628e-05	2.64061262213e-05	1.17653979646e-05	0.0	6.6430469442e-05	0.0	1.15264474336e-05	1.5182628037e-05	9.24457920987e-06	5.80919692693e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	0.00376667676382	0.00289130525351	0.00218979784708	0.0156888828029	0.0107713552969	0.00425798070678	0.00358381768476	0.00265479147041	0.00142936964799	0.00087033367254	0.00268395425115	0.00185811405826	0.00450476932348	0.00186603291964	0.00171774810283	0.00249298846993	0.00313699439032	0.00111337084156	0.000610901713983	0.00258863808031	0.00172873631224	0.00281261951212
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.0	0.0	0.0	3.91243960171e-05	0.0	4.81127763478e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.0019579695066	0.000283297921093	0.00131387870825	0.00264089673116	0.117261787335	0.00125574346268	0.00165981299823	0.00203391282007	0.000116948425744	0.000133897488083	0.000182444020093	0.00018493078305	0.000389482502682	0.000475310271983	0.000776516265663	0.000519372597902	0.000516681428993	0.000222674168312	0.000219002501239	0.000182191536444	0.000175647004987	0.000639011661963
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.60137760276	0.877190351206	0.950833275707	0.336176372777	0.746340501085	0.423074887536	0.320389855039	0.816177100283	0.978416518315	0.979727920304	0.89705697524	0.892101694318	0.822616440571	0.894833201303	0.844514383199	0.884353034867	0.78535577207	0.976218398824	0.982387588321	0.917345772967	0.894195790943	0.855544636417
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0.0545114514876	0.0195892180144	0.0145448678054	0.227782233612	0.108463207733	0.0472515576511	0.0495014817708	0.053053010191	0.00839429811453	0.00634674093514	0.0245366935468	0.0185855436965	0.0358029953409	0.0199366252971	0.0226366256839	0.0276652470482	0.0237378210806	0.00846161839586	0.00435699712991	0.0253132365947	0.020439764633	0.0292686705169
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.00247160724712	0.00124151147773	0.000184404029228	0.0751970891449	0.00816729137897	0.00336789434434	0.00258448390728	0.000192686477691	0.00128643268319	0.00101762090943	0.00690854689419	0.00419616752968	0.00414468172666	0.00176921045683	0.00341196540973	0.00318548526713	0.00466489518748	0.00086100678414	0.000714639740885	0.00436880121765	0.00314315693135	0.00633202465036
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	8.78013231659e-06	0.0	0.0	0.0	0.0	0.0	5.74329757173e-06	0.0	0.0	0.0	0.0	0.0	0.0	8.80204207376e-06	5.88269898229e-06	6.92496797202e-05	7.38116327133e-06	0.0	0.0	0.0	4.62228960493e-06	9.68199487822e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.0585986030809	0.00109986251719	6.91515109605e-05	0.00266045892917	0.000276188597356	0.0843224518271	0.0418341795125	0.0197610687677	0.0	1.33897488083e-05	4.45974271339e-05	3.52249110571e-05	2.93949058628e-05	0.000110025525922	7.64750867698e-05	3.46248398601e-05	2.2143489814e-05	2.96898891083e-05	0.0	5.31391981295e-05	9.70680817036e-05	3.38869820738e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.0	3.33291671874e-05	0.0	0.000606428138266	0.0	4.81127763478e-06	0.0	0.0	0.0	0.0	3.64888040186e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.0	8.33229179686e-06	2.30505036535e-05	0.0	0.0	0.0	5.74329757173e-06	2.14096086324e-05	0.0	0.0	0.0	8.80622776427e-06	2.20461793971e-05	8.80204207376e-06	1.17653979646e-05	0.0	5.16681428993e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	0.0	0.0	0.0	0.000156497584069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	0.0	0.0	0.0	0.0	0.0	8.17917197912e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	0.0	0.0	0.0	3.91243960171e-05	0.0	1.92451105391e-05	0.0	0.0	0.0	0.0	4.05431155763e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	0.0	0.0	0.0	0.000312995168137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76480969469e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__	0.0	0.0	0.000368808058456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.20461793971e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other;Other	8.78013231659e-06	0.0	0.0	0.0	0.0	0.0	1.14865951435e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0.0	0.0	0.0	5.86865940257e-05	0.0	0.0	5.74329757173e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47623265427e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;Other	0.0	0.0	0.0	0.0	0.0	9.62255526955e-06	5.74329757173e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	4.3900661583e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.24457920987e-06	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	5.26807938996e-05	0.0	0.0	0.0	0.0	0.0	3.44597854304e-05	0.0	0.0	0.0	4.05431155763e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000249603638666	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae	6.14609262162e-05	2.49968753906e-05	0.0	0.0	3.94555139081e-05	8.6602997426e-05	8.6149463576e-05	2.14096086324e-05	0.0	1.33897488083e-05	0.000105412100498	9.24653915249e-05	5.14410852599e-05	5.28122524426e-05	5.88269898229e-06	0.0	0.000177147918512	0.0	0.0	3.0365256074e-05	0.0	5.32509718302e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	0.000105361587799	0.0	0.0	0.0	0.0	4.81127763478e-06	0.000109122653863	0.0	0.0	0.0	1.21629346729e-05	0.0	0.0	4.40102103688e-06	5.88269898229e-06	3.46248398601e-05	0.0	0.0	0.0	3.79565700925e-06	0.0	2.90459846347e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae	0.0	0.0	0.0	0.0	0.0	0.0	5.74329757173e-06	0.0	0.0	0.0	0.0	8.80622776427e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae	0.000184382778648	2.49968753906e-05	0.0	0.0	7.89110278161e-05	4.81127763478e-06	0.000241218498013	2.14096086324e-05	0.0	0.0	0.000117575035171	0.000299411743985	7.3487264657e-06	4.40102103688e-06	0.000252956056239	0.0	6.6430469442e-05	0.0	1.15264474336e-05	7.5913140185e-06	9.24457920987e-06	0.00010650194366
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	4.3900661583e-06	0.0	0.00152133324113	0.0	0.0	2.88676658087e-05	1.14865951435e-05	2.14096086324e-05	0.0	0.0	1.21629346729e-05	4.40311388214e-06	7.3487264657e-06	2.20051051844e-05	0.0	0.0	7.38116327133e-06	0.0	0.0	2.65695990648e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.24653915249e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00123415132452	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae	1.31701984749e-05	0.000941548973045	0.00177488878132	0.0	0.00161767607023	1.92451105391e-05	5.74329757173e-06	0.000299734520853	0.0	6.69487440416e-05	0.0	0.0	0.0	8.80204207376e-06	0.0	0.00010387451958	0.0	0.0	0.0	0.0	4.16006064444e-05	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.72298927152e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria	0.000430226483513	0.000183310419531	0.0	0.00189753320683	0.000276188597356	0.000803483365008	0.000976360587195	0.000171276869059	0.000142936964799	0.000133897488083	0.000413539778878	0.000299411743985	0.000529108305531	0.00033887861984	0.000258838755221	0.000727121637062	0.000236197224683	5.93797782165e-05	0.000115264474336	0.000269491647657	0.000244981349061	0.000537350715741
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.47120544691e-05	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	3.07304631081e-05	2.49968753906e-05	0.0	1.95621980086e-05	0.0	3.84902210782e-05	9.76360587195e-05	4.28192172647e-05	0.0	0.0	0.0	4.84342527035e-05	0.0	9.24214417745e-05	1.17653979646e-05	0.0	0.0	0.0	0.0	7.5913140185e-06	0.0	2.42049871956e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3487264657e-06	0.0	0.0	0.0	1.47623265427e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__	2.63403969498e-05	0.0	0.0	0.0	0.0	0.0	1.14865951435e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	5.26807938996e-05	0.0	0.0	3.91243960171e-05	0.0	0.0	5.74329757173e-06	0.0	0.0	0.0	0.0	0.0	7.3487264657e-06	8.80204207376e-06	0.0	0.0	0.000147623265427	0.0	1.15264474336e-05	7.5913140185e-06	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	3.95105954247e-05	0.0	0.0	0.0	0.0	0.0	3.44597854304e-05	0.0	0.0	0.0	8.10862311525e-06	0.0	1.46974529314e-05	0.0	0.0	0.0	2.2143489814e-05	0.0	0.0	0.0	9.24457920987e-06	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	7.02410585328e-05	8.33229179686e-06	0.000299656547496	0.0	0.0	9.14142750607e-05	1.14865951435e-05	0.00107048043162	1.29942695271e-05	0.0	4.05431155763e-06	4.40311388214e-06	2.20461793971e-05	1.76040841475e-05	0.000170598270486	0.0	5.16681428993e-05	0.0	0.0	1.13869710278e-05	0.000536185594172	1.93639897564e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	0.001747246331	0.000324959380077	0.0	0.0	0.0	2.88676658087e-05	0.000660479220749	0.0	0.0	0.0	7.70319195949e-05	8.80622776427e-06	0.0	0.0	2.35307959292e-05	3.46248398601e-05	6.6430469442e-05	0.0	0.0	0.0	0.000462228960493	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__0319-6G20	0.0	0.0	0.000184404029228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.40102103688e-06	5.88269898229e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other	0.000210723175598	8.33229179686e-06	0.0	0.00127154287056	0.0	0.000408958598956	0.000292908176158	0.0	1.29942695271e-05	0.0	3.2434492461e-05	5.72404804678e-05	0.000117579623451	6.60153155532e-05	8.82404847344e-05	3.46248398601e-05	0.00011071744907	0.0	1.15264474336e-05	3.0365256074e-05	3.69783168395e-05	4.84099743911e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	2.19503307915e-05	0.0	0.0	0.000117373188051	3.94555139081e-05	1.92451105391e-05	2.87164878587e-05	0.0	0.0	0.0	0.0	0.0	1.46974529314e-05	0.0	5.88269898229e-06	0.0	7.38116327133e-06	0.0	0.0	0.0	0.0	4.84099743911e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.272908462731	0.0954547348248	0.000991171657101	0.32897748391	0.00110475438943	0.431196324184	0.57462266535	0.0150081356513	0.00974570214535	0.0113277274918	0.0667907286003	0.0815720877805	0.130248827878	0.0795836634099	0.12537796341	0.0801565042762	0.180476823147	0.0126478927601	0.011295918485	0.0483566702978	0.0765358712785	0.103224588394
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93949058628e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	0.0	0.0	0.0	0.0	0.0	2.40563881739e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	4.3900661583e-06	8.33229179686e-06	0.0	0.0	0.0	0.0	2.29731902869e-05	0.000834974736662	0.0	0.0	8.10862311525e-06	0.0	0.0	4.40102103688e-06	0.0	0.0	0.0	0.0	0.0	3.79565700925e-06	0.0	2.42049871956e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.0	0.0	0.0	0.0	0.0	6.25466092521e-05	1.14865951435e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.000171212580174	4.16614589843e-05	2.30505036535e-05	5.86865940257e-05	0.00114420990333	7.69804421564e-05	0.000206758712582	0.000321144129485	1.29942695271e-05	0.000120507739275	0.000145955216075	2.64186832928e-05	0.00010288217052	3.96091893319e-05	1.17653979646e-05	0.0	3.69058163567e-05	0.0	0.0	7.5913140185e-05	0.000120179529728	0.000174275907808
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43258693458e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
