	1142	1140	1162	1145	451	761	449	457	440	832	831	836	837	834	838	839	759	429	1018	1019	435	1032	1033	1016	1017	425	424	427	1035	1139	1138	757	1158	1155	1154	1157	1156	447	1153	844	842	1040	1024	1031	843	1020	841	441	437	426	430	431
832	0.9993	0.9997	0.9971	0.9974	0.9981	0.9997	0.9965	0.9775	0.9972	0.0	0.1931	0.2133	0.2717	0.2304	0.2115	0.1735	0.9997	0.9936	0.9983	0.9996	0.9954	0.9997	0.9997	0.9997	0.9997	0.9932	0.9926	0.9938	0.9997	0.9997	0.9995	0.9991	0.9997	0.9985	0.9997	0.9989	0.9994	0.9965	0.9997	0.2069	0.0798	0.9997	0.9979	0.9997	0.1707	0.9997	0.2443	0.9961	0.9971	0.9926	0.9959	0.9965
831	0.9996	1.0	0.9833	0.9843	0.9874	0.9982	0.9483	0.9287	0.9384	0.1931	0.0	0.0996	0.2069	0.0817	0.0985	0.1137	0.9985	0.9305	0.9986	0.9999	0.9361	0.9991	0.9985	1.0	1.0	0.9233	0.9241	0.9208	0.9996	0.9999	0.9987	1.0	0.9961	0.9973	0.9985	0.9977	0.9982	0.9941	0.999	0.0737	0.1737	1.0	0.9979	1.0	0.099	1.0	0.1363	0.9385	0.9774	0.9253	0.9927	0.9371
836	0.9996	1.0	0.9831	0.9837	0.9983	0.9989	0.975	0.9587	0.9717	0.2133	0.0996	0.0	0.2321	0.1129	0.0802	0.1602	0.9983	0.9721	0.9986	0.9999	0.9736	0.9991	0.9983	1.0	1.0	0.9683	0.9641	0.9662	0.9996	0.9999	0.9987	0.9993	0.9963	0.9971	0.9983	0.9975	0.9979	0.9935	0.9989	0.0957	0.2026	1.0	0.9979	1.0	0.1194	1.0	0.167	0.9744	0.9805	0.9669	0.992	0.9732
837	0.9996	1.0	0.9831	0.9863	0.9984	0.9983	0.9483	0.8663	0.757	0.2717	0.2069	0.2321	0.0	0.1637	0.255	0.2133	0.9984	0.885	0.9986	0.9999	0.9143	0.9991	0.9984	1.0	1.0	0.7527	0.7506	0.7525	0.9996	0.9999	0.9987	1.0	0.9984	0.9972	0.9984	0.9976	0.998	0.9941	0.9989	0.1785	0.2669	1.0	0.9979	1.0	0.2264	1.0	0.1503	0.7579	0.9797	0.7508	0.9931	0.9377
834	0.9992	0.9996	0.9842	0.9865	0.9944	0.9995	0.9443	0.8873	0.8944	0.2304	0.0817	0.1129	0.1637	0.0	0.1321	0.1336	0.9995	0.8891	0.9982	0.9995	0.9104	0.9995	0.9995	0.9996	0.9996	0.884	0.8823	0.8848	0.9995	0.9995	0.9992	0.9986	0.9995	0.998	0.9992	0.9984	0.9992	0.9924	0.9994	0.0425	0.2127	0.9994	0.9979	0.9996	0.1093	0.9996	0.0918	0.8957	0.9803	0.884	0.9939	0.938
838	0.9996	1.0	0.9849	0.9867	0.9817	0.9989	0.9866	0.9674	0.9829	0.2115	0.0985	0.0802	0.255	0.1321	0.0	0.1742	0.9983	0.9683	0.9986	0.9999	0.9865	0.9991	0.9983	1.0	1.0	0.9782	0.9783	0.9706	0.9996	0.9999	0.9987	1.0	0.9983	0.9971	0.9983	0.9975	0.998	0.9942	0.999	0.1166	0.1901	0.9999	0.9979	1.0	0.147	1.0	0.1642	0.9866	0.9866	0.9793	0.993	0.9849
839	0.9993	0.9997	0.9819	0.9799	0.991	0.999	0.9473	0.9251	0.9425	0.1735	0.1137	0.1602	0.2133	0.1336	0.1742	0.0	0.9997	0.9353	0.9983	0.9996	0.9344	0.9997	0.9997	0.9997	0.9997	0.9219	0.9226	0.921	0.9997	0.9997	0.9995	0.9991	0.9964	0.9985	0.9997	0.9989	0.9994	0.9932	0.9997	0.115	0.1746	0.9995	0.9979	0.9997	0.1113	0.9997	0.1473	0.9401	0.9771	0.9242	0.993	0.9418
759	0.2246	0.9401	0.1057	0.9998	0.589	0.3712	0.9537	0.9999	0.8955	0.9997	0.9985	0.9983	0.9984	0.9995	0.9983	0.9997	0.0	0.7941	0.977	0.9769	0.9256	0.8592	0.7871	0.9924	0.9973	0.9588	0.9821	0.9844	0.7694	0.9909	0.5492	0.5132	0.5572	0.724	0.6939	0.601	0.395	0.959	0.4221	0.9989	0.9999	0.819	0.9866	0.9238	1.0	0.9802	0.9945	1.0	0.9978	0.9811	0.8795	0.9005
429	0.8932	0.7114	0.7673	0.739	0.4335	0.8766	0.9264	0.8874	0.7469	0.9936	0.9305	0.9721	0.885	0.8891	0.9683	0.9353	0.7941	0.0	0.7487	0.7501	0.8081	0.6557	0.6343	0.7625	0.7662	0.7929	0.7971	0.7591	0.6581	0.761	0.6613	0.6661	0.6389	0.4848	0.4628	0.4367	0.4057	0.7305	0.5359	0.9073	0.9869	0.9138	0.9977	0.6943	0.9532	0.7528	0.8794	0.8421	0.9759	0.7724	0.6391	0.5571
1018	0.9769	0.042	0.9759	0.1498	0.5972	0.9773	0.9832	0.9986	0.9985	0.9983	0.9986	0.9986	0.9986	0.9982	0.9986	0.9983	0.977	0.7487	0.0	0.0216	0.9978	0.1265	0.1961	0.0262	0.0255	0.9985	0.9985	0.9984	0.2115	0.0218	0.4402	0.4727	0.8903	0.8916	0.8654	0.8502	0.7933	0.0349	0.6159	0.9986	0.9986	0.9773	0.9985	0.0583	0.9986	0.0117	0.9985	0.9986	0.9981	0.9985	0.1519	0.8303
1019	0.9768	0.0428	0.9771	0.1511	0.5822	0.9772	0.985	0.9999	0.9999	0.9996	0.9999	0.9999	0.9999	0.9995	0.9999	0.9996	0.9769	0.7501	0.0216	0.0	0.9997	0.1273	0.1963	0.0404	0.0368	0.9998	0.9999	0.9997	0.2123	0.0372	0.4403	0.4729	0.8903	0.8926	0.8654	0.8502	0.7931	0.0351	0.6159	0.9999	0.9999	0.9772	0.9999	0.0586	0.9999	0.0274	0.9999	0.9999	0.9999	0.9999	0.1545	0.8336
435	0.9998	0.9998	0.9211	0.9338	0.9086	0.9952	0.9052	0.9159	0.7097	0.9954	0.9361	0.9736	0.9143	0.9104	0.9865	0.9344	0.9256	0.8081	0.9978	0.9997	0.0	0.9998	0.9896	0.9998	0.9985	0.6383	0.6133	0.6622	0.9991	0.9999	0.9993	0.9924	0.9332	0.9851	0.991	0.9906	0.9952	0.9916	0.9988	0.915	0.9939	0.9473	0.9846	0.9999	0.948	0.9996	0.9003	0.7765	0.9718	0.6507	0.9805	0.8566
