# Constructed from biom file
#OTU ID	C	C-AS	LB	LB+LP	LB-AS
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	2.17881876897e-05	2.29458844262e-06	7.97712956952e-06	5.68446016387e-06	1.10994443618e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.0	0.0	0.000323073747566	2.72854087866e-05	6.65966661709e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae	2.33444868104e-05	0.000552995814671	1.79485415314e-05	1.25058123605e-05	8.87955548945e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	7.78149560345e-06	0.0	0.0	0.0	2.21988887236e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria	0.00839623375613	0.00038549085836	0.000344013712686	0.000403596671635	0.000339642997472
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae	0.0	0.0	1.79485415314e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	6.06956657069e-05	2.52404728688e-05	6.97998837333e-06	1.70533804916e-05	5.54972218091e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__	0.0	6.88376532785e-06	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	9.33779472415e-06	2.52404728688e-05	2.99142358857e-06	1.13689203277e-06	4.43977774473e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	2.0231888569e-05	2.52404728688e-05	1.99428239238e-06	5.68446016387e-06	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	7.31460586725e-05	8.03105954916e-05	0.000143588332251	9.09513626219e-06	8.43557771498e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	0.000233444868104	0.00125513987811	0.000118659802347	3.06960848849e-05	8.87955548945e-06
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__0319-6G20	0.0	1.83567075409e-05	0.0	0.0	3.10784442131e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other	2.49007859311e-05	4.58917688523e-06	5.98284717714e-06	9.09513626219e-06	6.65966661709e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.390399190724	0.197036309568	0.061132732456	0.0637341673573	0.100691939362
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae	0.0	0.0	0.0	4.5475681311e-06	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	9.33779472415e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.000309703525018	0.000112434833688	6.97998837333e-06	4.5475681311e-06	2.21988887236e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	3.11259824138e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.000166524005914	0.000121613187459	0.000101708402011	8.98144705892e-05	2.88585553407e-05
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae	0.0	0.0	0.0	1.0232028295e-05	0.0
