Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	250
4924-429-MSITS2a_R2	33.4003662549	33.7083617853	33.5357253709	33.4656092867	33.7405798001	37.081227885	37.215624806	37.4701719536	37.2418213421	37.3353529083	37.1348687069	36.7608479732	36.9090011795	36.9945620461	36.6926811099	36.8628841021	36.8515351682	36.5884257119	36.3904327311	36.1416589061	35.4802508226	35.4819519464	35.2063264419	35.5772955858	35.3633823803	35.2646613274	35.0451356553	35.1008567703	35.0158005836	34.8759243279	35.001502499	34.6220904604	33.8260515941	33.5016297768	33.5565579114	33.01329277	32.5597864216	32.2865302828	32.3263961755	32.0358923416	31.2739204669	30.806351473	30.5155868749	30.6742184832	30.7395224415	30.8794446962	29.1157696017	27.4116637972	27.8323368289	28.1559159064	26.0088600011	24.4401223874	23.5167839878	24.0041702694	23.8326698696	21.1567634626	20.8029587934	17.5771596522
4924-430-MSITS2a_R1	33.8294248657	33.8221210533	33.7862570418	33.8485523385	33.8278854972	37.7347373248	37.7471177781	37.5897091576	37.6472553387	37.580531901	37.4746823005	37.6117254029	37.6263919822	37.4557054893	37.6466395912	37.5548211712	37.482279622	37.4367150391	37.3657811118	37.2978347037	37.3904084908	36.5745405706	36.7760932945	36.2579028401	36.306587611	35.9578930127	35.8073181118	35.6163003243	35.5465325777	35.9196973171	34.8411242507	35.2543846431	35.5305991417	35.9106561405	35.8010285976	35.1911488191	35.317902185	35.5317456678	34.62296983	35.1674314957	34.898899299	34.6869422787	33.7825591299	34.3077245627	30.8151444143	31.3294955061	31.3023118239	31.2603964516	31.6032269965	31.5080880729	30.6100231234	25.8864943273	24.9634810335	25.68475901	24.0908775958	23.090435349	22.2024292992	17.2656641496
4924-430-MSITS2a_R2	33.6703786192	33.8429844098	33.6910454605	33.6849862439	33.8278199921	37.3269684266	37.519389493	37.6086073628	37.4264378357	37.5182562557	37.3507729595	37.0382483951	37.154506747	37.2442814097	37.0798768505	37.084337744	36.9093941843	37.0412356275	36.9193500835	36.3181445933	34.8871752875	35.9155960297	35.986733056	35.7896419563	35.873620074	36.0933403217	35.0033871655	35.5321125561	34.5717954598	35.4248304779	36.0358436794	35.1709109968	33.5176401219	33.9285812559	34.4430504144	34.4020965047	33.7352180037	34.3604546795	34.0669178105	34.1847172602	32.6248312914	32.4769442443	32.9452335714	31.9508681124	33.1137461134	32.4990487437	31.3149741264	31.0594912444	29.8357086459	29.0570964666	27.0807468867	23.7255846067	22.4879943898	23.4004659398	21.2740026904	19.6059832246	19.6713930372	15.804838014
4924-431-MSITS2a_R1	33.8090275516	33.7883149873	33.7687748323	33.8107210317	33.8107861656	37.6117371198	37.6530319807	37.5258255715	37.6160359539	37.5768644565	37.4840878004	37.568618511	37.5793395428	37.4051064938	37.5965218524	37.454660327	37.3470474719	37.3546687635	37.3018806107	37.1889653365	37.3150252277	36.5506585414	36.7224952493	36.1972347815	36.2102876614	36.0183867374	35.8541642094	35.7930935063	35.5446563135	36.0966778062	35.1903020772	35.5370290282	35.7432147304	35.4847912981	34.9719546557	34.8098945023	34.9773540397	34.4099076076	34.4916322653	34.4292379267	34.2637179739	33.9327304895	33.4107201363	33.3259157329	31.8637835004	31.9275801062	31.702850403	31.6993906035	31.9185898696	31.033995151	31.1199082335	30.1732493187	28.4567134425	28.2514795109	27.5427362383	26.9387289602	25.2264398685	19.3406791702
4924-431-MSITS2a_R2	33.6297791962	33.8526672312	33.6212466619	33.6153846154	33.8240083371	37.1881716928	37.4968410083	37.5834690289	37.3543932782	37.4450986778	37.2574741093	36.9488829545	37.0390021494	37.1459258777	37.0028528626	37.0824724809	36.9911625945	36.7318878554	36.5856412944	36.2763526792	35.6416350059	35.7176863618	35.6981396568	35.8486047426	35.6130748068	35.5180531901	35.2564391458	35.4146600288	35.0389099961	35.0007205555	34.8244202804	34.1583649941	33.3547098127	33.1654788419	32.9261758155	32.5885628193	32.3429582078	31.5038647976	31.7411895716	31.7152495742	31.168623084	31.0136774532	30.1274335124	30.197052273	29.5556268833	30.1863880519	29.3043626359	27.9111096554	27.6718328311	27.2086728678	26.5705395837	25.0209941805	23.8066856781	23.9764284718	23.255074939	22.0924898314	21.1200073153	18.6476617467
4924-432-MSITS2a_R1	33.8048280574	33.8031769529	33.7944090184	33.8131974493	33.8164427238	37.6929514917	37.7185720793	37.4819517194	37.5863698474	37.5310635391	37.3690047825	37.5375768618	37.5309724436	37.341949442	37.5616374402	37.4374857663	37.3368367115	37.2835003416	37.1739580961	37.1429742655	37.233591437	36.3889432931	36.7284787064	36.0518446823	36.213254384	35.9235481667	35.5606467775	35.2628444546	35.4655431565	35.859940788	34.7619448873	35.2534046914	35.4944887269	35.3729446595	34.878398998	34.8471077203	34.9177636074	34.5785128672	34.5539284901	34.4223297654	34.034377135	33.6609542246	33.327601913	33.1741630608	32.2663060806	31.8281257117	31.8354133455	31.6939307675	31.2925529492	30.8741944123	30.6792461763	29.9476566881	28.9181624492	27.075557627	25.9005711831	25.9026541944	25.2700333311	18.4067531664
4924-432-MSITS2a_R2	33.5046686404	33.7917900251	33.5174789342	33.4422113414	33.7711227511	36.9668071054	37.3892051924	37.4863926213	37.1472329765	37.2543611934	37.052516511	36.5869391938	36.7687428832	36.8378729219	36.5581074926	36.7863356866	36.6768959235	36.2847642906	36.0513094967	35.9114666363	35.2863356866	35.1858688226	35.1099521749	35.3278182646	35.0062514234	34.9913914826	34.9175586427	34.8562172626	34.9503529948	34.736905033	34.8719653837	34.4403438852	33.7787633796	33.466089729	33.1912662264	32.300637668	31.9043156456	31.5602368481	31.7185493054	31.2358460487	31.0709633341	30.407891141	30.0174789342	30.138635846	30.4052379868	30.4540537463	28.874914598	27.238328399	27.6078569802	27.3722614439	25.8045207093	24.1513913354	23.219428302	23.9106268461	23.5156941254	20.8419015607	20.7049374126	17.0481036134
4924-435-MSITS2a_R1	33.8036663757	33.7799381002	33.7706531228	33.8458058884	33.8477898579	37.5423379097	37.6294738513	37.528450123	37.4986112213	37.5253075153	37.411395921	37.4838028728	37.4932148242	37.2942306166	37.3084834537	37.1784302833	37.0373303706	36.9953019602	36.9116260614	36.8791841917	37.1398936592	35.9018808031	35.8838981033	35.6269978573	35.5519403222	35.3340687247	35.2069994445	35.325910642	35.0532656138	35.3243552099	34.7226410602	34.6077771605	34.0783271169	33.9915879692	33.6380445996	33.8145067852	33.8809618284	32.8490119832	32.5658439806	32.4942147449	31.8196174907	31.2514879771	31.752083168	31.0724069518	30.5093168602	29.9479764399	29.0956528981	28.8267821452	28.2485676216	28.1868421053	26.9410892738	27.56697719	27.2329734594	26.3766949858	25.0551581504	24.6599189822	22.73600636	18.0265489512
4924-435-MSITS2a_R2	33.6695500357	33.8228712007	33.6291564162	33.6445520197	33.8027934291	37.31314975	37.4794857551	37.5506705817	37.4244107611	37.475390842	37.3180065074	36.9768589794	37.0706293151	37.2286802635	37.0881199905	37.0447424808	37.0888500913	36.9356082851	36.5677962067	36.2436314578	35.9803983811	35.876041584	35.7736052694	35.8190461075	35.6771367352	35.5479406396	35.4440441235	34.9506864535	34.5872073645	34.6594714705	34.7466391556	34.5223871121	34.1740655504	33.915689231	33.4675184509	32.9642885485	32.7357670026	32.3266724863	32.3264661535	31.6597889056	30.8926751845	30.3288627887	30.2297277994	30.3827632728	29.5789873429	29.2328641941	28.7141832736	26.7831234887	27.2446427082	26.7679312933	25.7423330276	24.1532716883	23.1651828014	24.0762905512	22.2600829994	19.812725987	20.2169440445	18.0885980033
4924-437-MSITS2a_R1	33.8557104054	33.8633767421	33.8601782042	33.8571065925	33.8238265682	37.5452491559	37.6882441043	37.5823623486	37.6509278298	37.6017972736	37.4678445409	37.5302464905	37.5403447313	37.366298581	37.5411925977	37.4944939456	37.3934506131	37.3773005356	37.2156169878	37.1990201305	37.3009062524	36.4535577387	36.3328865534	36.2187190618	36.3480669154	35.9014596502	35.5631305054	35.7374000457	35.8072703272	36.2442718249	35.6071535552	35.5896885233	35.3073287132	35.5997969182	35.272114335	35.0460640215	35.221963293	35.2449470718	34.4498514965	34.2788515726	33.8633513568	34.1585408575	34.3420810804	32.8182164344	31.7955626634	31.6695605818	31.0548066915	29.4719366385	28.2165410098	28.7776406976	29.2189627599	31.6098516889	30.3323392689	27.5881677547	25.889206696	26.06188953	24.6203084916	22.8360702418
4924-437-MSITS2a_R2	33.4358134694	33.8171756403	33.6696621227	33.6511055264	33.7868656868	37.293960856	37.0609753002	37.5572055949	37.2603508238	37.4303962633	37.2252379864	36.9052928185	36.9735079837	37.1473662833	36.9611758434	36.8310258168	36.8778057015	36.7747061661	36.615637296	35.7241692687	35.7798847511	35.4810905491	35.145025766	35.490736933	35.4874165461	35.0760744295	35.388728962	35.1841139289	34.558825172	34.3427512502	34.6084735867	34.1208082654	34.1613636941	33.8827253573	33.8988449725	32.9432894169	32.4465971112	32.0320513797	31.6042241007	31.9092173736	31.4940217805	31.0219734471	31.0617063945	29.9969233112	29.9873733912	29.6521564745	29.6103216307	28.3057903688	27.4073007895	26.1894448252	25.9729190465	25.6393870016	23.0738454504	23.9468018087	21.8708276177	21.7940862673	21.721850949	16.5837790923
