Sample	Top over-represented sequence	Sum of remaining over-represented sequences
4924-843-MSITS2a_R2	76.7290344136	15.9204811226
4924-844-MSITS2a_R1	80.9389845803	12.9568194485
4924-844-MSITS2a_R2	76.063589798	15.5471217389
5101-1016-MSITS2a_R1	90.310161756	4.42112453041
5101-1016-MSITS2a_R2	86.1358626471	6.70775249154
5101-1017-MSITS2a_R1	90.706276224	4.447303402
5101-1017-MSITS2a_R2	86.447566556	6.55692168243
5101-1018-MSITS2a_R1	90.4699347432	4.19242906713
5101-1018-MSITS2a_R2	86.6544815867	6.33148177236
5101-1019-MSITS2a_R1	90.9168910323	3.92023432646
5101-1019-MSITS2a_R2	85.9640817776	6.42178762685
5101-1020-MSITS2a_R1	90.3201124575	4.5232121568
5101-1020-MSITS2a_R2	86.3627466681	6.34708802648
5101-1024-MSITS2a_R1	86.8357885819	7.1963100673
5101-1024-MSITS2a_R2	41.8882665788	46.5524544642
5101-1031-MSITS2a_R1	88.434318953	5.14784294716
5101-1031-MSITS2a_R2	84.3544999192	7.93343027953
5101-1032-MSITS2a_R1	89.9026131559	4.5608927705
5101-1032-MSITS2a_R2	85.5895196507	6.57794413253
5101-1033-MSITS2a_R1	91.0404180114	3.43965240231
5101-1033-MSITS2a_R2	86.7862581556	5.33132151389
5101-1034-MSITS2a_R1	90.2087780344	4.68580952659
5101-1034-MSITS2a_R2	85.7963683149	6.51188631247
5101-1035-MSITS2a_R1	91.4281393494	3.36000439935
5101-1035-MSITS2a_R2	86.6630921939	5.56105474443
5101-1040-MSITS2a_R1	90.4127328933	4.64394129278
5101-1040-MSITS2a_R2	86.6042832874	6.13947141226
5101-1138-MSITS2a_R1	91.2823871584	3.50458471171
5101-1138-MSITS2a_R2	87.010723563	5.3595612886
5101-1139-MSITS2a_R1	90.384918136	4.27818010076
5101-1139-MSITS2a_R2	86.3651868178	6.18833963056
5101-1140-MSITS2a_R1	90.1760500674	4.33637774442
5101-1140-MSITS2a_R2	86.1169766199	6.25079502379
5101-1141-MSITS2a_R1	87.1307825139	5.26674543306
5101-1141-MSITS2a_R2	84.7178042352	4.90775243116
5101-1142-MSITS2a_R1	91.0253533767	3.39452810516
5101-1142-MSITS2a_R2	86.7148833956	5.51676807137
5101-1145-MSITS2a_R1	86.445770112	7.85241862275
5101-1145-MSITS2a_R2	78.47663511	13.3942852202
5101-1153-MSITS2a_R1	91.199127907	3.18495639535
5101-1153-MSITS2a_R2	87.2601744186	5.28524709302
5101-1154-MSITS2a_R1	90.4775629656	3.5340546293
5101-1154-MSITS2a_R2	86.704061724	5.76888967719
5101-1155-MSITS2a_R1	91.3124052339	2.93517530559
5101-1155-MSITS2a_R2	84.7850096404	7.0927163475
5101-1156-MSITS2a_R1	91.312325638	3.14179258177
5101-1156-MSITS2a_R2	88.4888314704	4.26519874927
5101-1157-MSITS2a_R1	91.7384944064	2.86784748313
5101-1157-MSITS2a_R2	86.2553805028	6.25243372378
5101-1158-MSITS2a_R1	76.7006243838	16.2011173184
5101-1158-MSITS2a_R2	63.1869134991	27.0091649323
5101-1162-MSITS2a_R1	88.7474821461	5.1486296771
5101-1162-MSITS2a_R2	84.0291765855	8.29518403223
5101-447-MSITS2a_R1	89.8045155488	4.96521039428
5101-447-MSITS2a_R2	81.4289771383	10.3777157192
5101-449-MSITS2a_R1	62.4490671242	30.1951533348
5101-449-MSITS2a_R2	23.3111730646	62.9637572378
5101-450-MSITS2a_R1	89.1934550429	5.23491345294
5101-450-MSITS2a_R2	47.3825432735	40.7691902983
5101-451-MSITS2a_R1	83.3195527915	10.1179135061
5101-451-MSITS2a_R2	61.2395297839	27.9577236941
5101-457-MSITS2a_R1	78.5482002018	15.1534407356
5101-457-MSITS2a_R2	70.5005046163	19.5454715359
5101-458-MSITS2a_R1	78.1323036277	14.0534498527
5101-458-MSITS2a_R2	50.5538055076	37.049080378
5101-757-MSITS2a_R1	90.217482225	4.29109159348
5101-757-MSITS2a_R2	86.0664993726	6.46800501882
5101-758-MSITS2a_R1	90.0472164982	4.67784069705
5101-758-MSITS2a_R2	86.9059401924	6.15761548571
5101-759-MSITS2a_R1	89.4415747295	5.46521267776
5101-759-MSITS2a_R2	85.9213910677	6.66199009417
5101-760-MSITS2a_R1	91.0092855372	4.15782657813
5101-760-MSITS2a_R2	87.8378750723	5.44733144132
5101-761-MSITS2a_R1	90.7164436142	3.73618996191
5101-761-MSITS2a_R2	66.7158014565	24.5888001868
