Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB+LP/90	C-AS/90+50h	137.660841136	9.77974617486	151.250470102	27.4221901681	-0.933548768656	1.0
LB/90+140h	LB-AS/90	147.707509352	25.8625993048	121.750662483	23.9027370392	1.47412211545	1.0
C/30+120h	C-AS/90	171.146218582	30.1820286295	241.242102275	43.1384929515	-2.42955142805	1.0
C-AS/90+50h	C/90+140h	151.250470102	27.4221901681	180.116366794	32.1853364616	-1.36535878502	1.0
LB+LP/90+140h	C-AS/90+140h	156.724751188	25.16527784	139.923142593	46.8743028478	0.631611361105	1.0
LB/90+50h	LB+LP/30	119.531989102	13.8254804537	72.3775501582	9.78193626663	5.08348903352	1.0
C-AS/90+50h	LB/90	151.250470102	27.4221901681	120.086239979	13.79620883	2.03043486587	1.0
LB+LP/30	C-AS/90	72.3775501582	9.78193626663	241.242102275	43.1384929515	-6.76671362026	1.0
LB-AS/90+140	LB+LP/30+120h	131.196352814	0.0	71.2195292208	6.29933537376	7.37503959233	1.0
C/90+140h	LB/90	180.116366794	32.1853364616	120.086239979	13.79620883	3.42857034638	1.0
LB+LP/90+140h	LB-AS/90+140h	156.724751188	25.16527784	174.047997474	26.9747424886	-0.876450349478	1.0
LB/90+140h	C/30	147.707509352	25.8625993048	322.648416522	26.2538282763	-8.83320941898	1.0
C-AS/90+140h	C/90+140h	139.923142593	46.8743028478	180.116366794	32.1853364616	-1.41375297241	1.0
LB-AS/90+140	LB/30+120h	131.196352814	0.0	66.7015476191	7.08053527147	7.05560517275	1.0
LB+LP/90	LB+LP/30+120h	137.660841136	9.77974617486	71.2195292208	6.29933537376	10.3831815013	1.0
C/30	LB+LP/30	322.648416522	26.2538282763	72.3775501582	9.78193626663	15.4721258524	1.0
LB+LP/30	LB+LP/90+50h	72.3775501582	9.78193626663	127.622411567	22.496704018	-4.03687691681	1.0
C/30+120h	C-AS/90+50h	171.146218582	30.1820286295	151.250470102	27.4221901681	0.911965860485	1.0
LB-AS/90+140	LB-AS/90	131.196352814	0.0	121.750662483	23.9027370392	0.322656516154	1.0
LB+LP/30	LB/90	72.3775501582	9.78193626663	120.086239979	13.79620883	-5.15102498842	1.0
LB+LP/30+120h	C/90+50h	71.2195292208	6.29933537376	255.81492407	22.8804441896	-13.8175300672	1.0
LB+LP/90+140h	LB-AS/90	156.724751188	25.16527784	121.750662483	23.9027370392	2.01534404591	1.0
LB+LP/90+50h	C/90+50h	127.622411567	22.496704018	255.81492407	22.8804441896	-7.99014987526	1.0
LB+LP/30	LB+LP/30+120h	72.3775501582	9.78193626663	71.2195292208	6.29933537376	0.172392825567	1.0
C/90	LB/30	289.482155449	24.8652244896	76.0115368659	6.65635090702	14.7264587203	1.0
LB+LP/90+50h	LB+LP/30+120h	127.622411567	22.496704018	71.2195292208	6.29933537376	4.28972732101	1.0
LB-AS/90+50h	C-AS/90+140h	122.005804314	28.4036737171	139.923142593	46.8743028478	-0.653816338809	1.0
C/90	LB-AS/90	289.482155449	24.8652244896	121.750662483	23.9027370392	9.72613824834	0.693
C-AS/90+50h	C-AS/90+140h	151.250470102	27.4221901681	139.923142593	46.8743028478	0.41716421815	1.0
LB-AS/90+50h	LB/30+120h	122.005804314	28.4036737171	66.7015476191	7.08053527147	3.35201877652	1.0
C-AS/90+50h	C/90+50h	151.250470102	27.4221901681	255.81492407	22.8804441896	-5.85565295302	1.0
LB-AS/90+140	C/90+50h	131.196352814	0.0	255.81492407	22.8804441896	-4.44705690623	1.0
LB/90+50h	LB-AS/90+140h	119.531989102	13.8254804537	174.047997474	26.9747424886	-3.45796760725	1.0
LB+LP/30+120h	LB-AS/90	71.2195292208	6.29933537376	121.750662483	23.9027370392	-3.6293355754	1.0
C-AS/90+140h	C/90+50h	139.923142593	46.8743028478	255.81492407	22.8804441896	-4.44366294027	1.0
LB+LP/90	LB+LP/30	137.660841136	9.77974617486	72.3775501582	9.78193626663	8.77511342831	1.0
LB+LP/90	LB-AS/90+140h	137.660841136	9.77974617486	174.047997474	26.9747424886	-2.46530246919	1.0
LB-AS/90+140h	LB+LP/30+120h	174.047997474	26.9747424886	71.2195292208	6.29933537376	6.42963322277	1.0
C/90	C/90+50h	289.482155449	24.8652244896	255.81492407	22.8804441896	1.99270724224	1.0
LB+LP/90+140h	LB+LP/90	156.724751188	25.16527784	137.660841136	9.77974617486	1.41220478992	1.0
C/90	LB+LP/30	289.482155449	24.8652244896	72.3775501582	9.78193626663	14.527403958	1.0
