New.CleanUp.ReferenceOTU206	150_47286
New.CleanUp.ReferenceOTU207	158_32620
New.CleanUp.ReferenceOTU208	171_10977
New.CleanUp.ReferenceOTU209	148_9757
New.CleanUp.ReferenceOTU210	156_25978
New.CleanUp.ReferenceOTU211	146_6594
New.CleanUp.ReferenceOTU212	148_9751
New.CleanUp.ReferenceOTU213	146_23805	146_6357
New.CleanUp.ReferenceOTU214	147_569
New.CleanUp.ReferenceOTU215	155_1673
New.CleanUp.ReferenceOTU216	178_38688
New.CleanUp.ReferenceOTU217	147_562	148_3561	148_28413	147_14951	148_29497	148_31799
New.CleanUp.ReferenceOTU218	163_14269
New.CleanUp.ReferenceOTU219	150_44535
New.CleanUp.ReferenceOTU220	173_43934
New.CleanUp.ReferenceOTU221	167_15722
New.CleanUp.ReferenceOTU222	161_3387
New.CleanUp.ReferenceOTU223	155_4465
New.CleanUp.ReferenceOTU224	157_13794
New.CleanUp.ReferenceOTU225	148_4257
New.CleanUp.ReferenceOTU226	166_55049
New.CleanUp.ReferenceOTU227	173_10722
New.CleanUp.ReferenceOTU228	173_10723
New.CleanUp.ReferenceOTU229	178_42178
New.CleanUp.ReferenceOTU230	172_3408
New.CleanUp.ReferenceOTU231	170_1451
New.CleanUp.ReferenceOTU232	170_13323
New.CleanUp.ReferenceOTU233	156_31001
New.CleanUp.ReferenceOTU234	175_41229
New.CleanUp.ReferenceOTU235	146_30181	147_15404	147_32239
New.CleanUp.ReferenceOTU236	165_22239
New.CleanUp.ReferenceOTU237	153_10270
New.CleanUp.ReferenceOTU238	167_27210
New.CleanUp.ReferenceOTU239	177_27560
New.CleanUp.ReferenceOTU240	148_14202	147_13103
New.CleanUp.ReferenceOTU241	150_10881
New.CleanUp.ReferenceOTU242	148_14207
New.CleanUp.ReferenceOTU243	147_10311
New.CleanUp.ReferenceOTU244	177_27568
New.CleanUp.ReferenceOTU245	146_6044
New.CleanUp.ReferenceOTU246	171_41397
New.CleanUp.ReferenceOTU247	156_33893
New.CleanUp.ReferenceOTU248	166_29258
New.CleanUp.ReferenceOTU249	146_6042
New.CleanUp.ReferenceOTU250	147_12262
New.CleanUp.ReferenceOTU251	165_16928
New.CleanUp.ReferenceOTU252	178_18144
New.CleanUp.ReferenceOTU253	153_23229
New.CleanUp.ReferenceOTU254	165_16927
New.CleanUp.ReferenceOTU255	166_15072
New.CleanUp.ReferenceOTU256	146_5953
New.CleanUp.ReferenceOTU257	165_26928
New.CleanUp.ReferenceOTU258	172_42649	171_44601
New.CleanUp.ReferenceOTU259	172_6573
New.CleanUp.ReferenceOTU260	162_16773
New.CleanUp.ReferenceOTU261	151_3416
New.CleanUp.ReferenceOTU262	147_28437	147_28439
New.CleanUp.ReferenceOTU263	148_24154	146_18421
New.CleanUp.ReferenceOTU264	147_28433
New.CleanUp.ReferenceOTU265	178_15517
New.CleanUp.ReferenceOTU266	175_10632
New.CleanUp.ReferenceOTU267	146_30238	146_30239	148_34772	148_34774	148_16905	146_13196	148_7332	147_34224	146_7253	146_3349	146_28965
New.CleanUp.ReferenceOTU268	161_18373
New.CleanUp.ReferenceOTU269	175_10637
New.CleanUp.ReferenceOTU270	146_30234
New.CleanUp.ReferenceOTU271	158_19131
New.CleanUp.ReferenceOTU272	160_4153
New.CleanUp.ReferenceOTU273	168_6948
New.CleanUp.ReferenceOTU274	161_38722
New.CleanUp.ReferenceOTU275	168_37593
New.CleanUp.ReferenceOTU276	166_3444
New.CleanUp.ReferenceOTU277	146_20578
New.CleanUp.ReferenceOTU278	148_17706
New.CleanUp.ReferenceOTU279	178_52845
New.CleanUp.ReferenceOTU280	156_16951
New.CleanUp.ReferenceOTU281	148_12122
New.CleanUp.ReferenceOTU282	148_12123
New.CleanUp.ReferenceOTU283	158_5963
New.CleanUp.ReferenceOTU284	178_16899
New.CleanUp.ReferenceOTU285	170_4731
New.CleanUp.ReferenceOTU286	150_38163
New.CleanUp.ReferenceOTU287	155_41154	161_11127
New.CleanUp.ReferenceOTU288	157_26658
New.CleanUp.ReferenceOTU289	146_24237
New.CleanUp.ReferenceOTU290	175_3774
New.CleanUp.ReferenceOTU291	161_126	161_128	150_5122	168_29045	173_8015	161_3662	172_31384
New.CleanUp.ReferenceOTU292	156_1749
New.CleanUp.ReferenceOTU293	163_12954
New.CleanUp.ReferenceOTU294	158_2464	158_2465	178_49534	172_8243	178_44875	178_35958	165_25233	176_21206	176_53438	165_46724	165_35872	165_21773	161_9405	161_39570	176_34666	165_20707	178_48651	173_45090	171_34561	177_12603	167_43307	161_202	155_35934	153_33176	173_32931	170_51837	157_29792	170_11403	171_34182	165_5950	177_44153	172_15349	156_25701	155_27210	172_43903	170_57031	172_15158	156_20950	172_24697	170_12609	175_14112	167_26758	158_23422	165_18064	165_26838	155_26632	172_20417	176_45312	172_43746	165_25907	165_20651	153_38269	173_8386	155_5618	177_41213	176_8329	175_3720
New.CleanUp.ReferenceOTU295	156_6914
New.CleanUp.ReferenceOTU296	170_49118
New.CleanUp.ReferenceOTU297	147_25934
New.CleanUp.ReferenceOTU298	155_44497	150_10062
New.CleanUp.ReferenceOTU299	172_45695
New.CleanUp.ReferenceOTU300	161_8403
New.CleanUp.ReferenceOTU301	167_9272
New.CleanUp.ReferenceOTU302	148_11702
New.CleanUp.ReferenceOTU303	146_7715
New.CleanUp.ReferenceOTU304	146_3841
New.CleanUp.ReferenceOTU305	175_41912
New.CleanUp.ReferenceOTU306	166_14037
New.CleanUp.ReferenceOTU307	170_13239
New.CleanUp.ReferenceOTU308	147_18657
New.CleanUp.ReferenceOTU309	147_30566
New.CleanUp.ReferenceOTU310	157_18689
New.CleanUp.ReferenceOTU311	161_698
