OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C-AS_mean	LB+LP_mean	C_mean	LB_mean	LB-AS_mean	taxonomy
New.CleanUp.ReferenceOTU72610	11.8267020336	0.0186875725645	0.116740759396	1.0	0.153846153846	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__brevis
New.CleanUp.ReferenceOTU73144	11.8267020336	0.0186875725645	0.116740759396	1.0	0.153846153846	0.0	0.0	0.0	0.0	Unassigned
New.CleanUp.ReferenceOTU81474	11.8267020336	0.0186875725645	0.116740759396	1.0	0.153846153846	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU81737	11.8267020336	0.0186875725645	0.116740759396	1.0	0.153846153846	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
New.CleanUp.ReferenceOTU97938	11.8267020336	0.0186875725645	0.116740759396	1.0	0.153846153846	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
New.CleanUp.ReferenceOTU100964	11.8267020336	0.0186875725645	0.116740759396	1.0	0.153846153846	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
New.CleanUp.ReferenceOTU106054	11.8267020336	0.0186875725645	0.116740759396	1.0	0.153846153846	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
New.CleanUp.ReferenceOTU107331	11.8267020336	0.0186875725645	0.116740759396	1.0	0.153846153846	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU114595	11.8267020336	0.0186875725645	0.116740759396	1.0	0.153846153846	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
New.CleanUp.ReferenceOTU116648	11.8267020336	0.0186875725645	0.116740759396	1.0	0.153846153846	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
1107027	11.8251748252	0.0186997822376	0.116740759396	1.0	1.92307692308	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
837075	11.8251748252	0.0186997822376	0.116740759396	1.0	1.38461538462	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
4440018	11.8251748252	0.0186997822376	0.116740759396	1.0	0.538461538462	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Weissella; s__
New.CleanUp.ReferenceOTU5369	11.8251748252	0.0186997822376	0.116740759396	1.0	0.307692307692	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
New.CleanUp.ReferenceOTU9933	11.8251748252	0.0186997822376	0.116740759396	1.0	0.230769230769	0.0	0.0	0.0	0.0	Unassigned
New.CleanUp.ReferenceOTU39406	11.8251748252	0.0186997822376	0.116740759396	1.0	0.230769230769	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU40573	11.8251748252	0.0186997822376	0.116740759396	1.0	0.538461538462	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU69848	11.8251748252	0.0186997822376	0.116740759396	1.0	0.230769230769	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
New.CleanUp.ReferenceOTU77955	11.8251748252	0.0186997822376	0.116740759396	1.0	0.307692307692	0.0	0.0	0.0	0.0	Unassigned
