New.CleanUp.ReferenceOTU334	168_43138
New.CleanUp.ReferenceOTU335	147_7174
New.CleanUp.ReferenceOTU336	147_7176
New.CleanUp.ReferenceOTU337	147_14372
New.CleanUp.ReferenceOTU338	156_9497
New.CleanUp.ReferenceOTU339	156_9494
New.CleanUp.ReferenceOTU340	173_20456
New.CleanUp.ReferenceOTU341	173_20451
New.CleanUp.ReferenceOTU342	167_26816
New.CleanUp.ReferenceOTU343	155_2517
New.CleanUp.ReferenceOTU344	155_25299
New.CleanUp.ReferenceOTU345	167_19988
New.CleanUp.ReferenceOTU346	175_37553
New.CleanUp.ReferenceOTU347	162_8124
New.CleanUp.ReferenceOTU348	148_1999
New.CleanUp.ReferenceOTU349	167_20556
New.CleanUp.ReferenceOTU350	150_25907
New.CleanUp.ReferenceOTU351	161_41299
New.CleanUp.ReferenceOTU352	148_1997
New.CleanUp.ReferenceOTU353	147_19290
New.CleanUp.ReferenceOTU354	147_19291
New.CleanUp.ReferenceOTU355	167_966
New.CleanUp.ReferenceOTU356	150_27190
New.CleanUp.ReferenceOTU357	166_29531
New.CleanUp.ReferenceOTU358	146_22321
New.CleanUp.ReferenceOTU359	156_26091	156_26092	156_37683	156_11984
New.CleanUp.ReferenceOTU360	162_20998
New.CleanUp.ReferenceOTU361	148_6349
New.CleanUp.ReferenceOTU362	146_22326	146_22327	146_25042
New.CleanUp.ReferenceOTU363	146_22329	146_22331
New.CleanUp.ReferenceOTU364	146_22328	146_22330	147_30364	147_13091	166_24811	147_35544	146_7085	147_10725	156_9547	147_19587	147_19004	147_24779	148_30795	146_4911	146_25588	147_11180	146_3425	148_10254	146_1895	146_29218	147_4580	147_35734	148_22387	147_33279	147_27339	148_21420	147_17411	147_8114	146_14946
New.CleanUp.ReferenceOTU365	146_27138
New.CleanUp.ReferenceOTU366	153_2649
New.CleanUp.ReferenceOTU367	150_39783
New.CleanUp.ReferenceOTU368	158_6399
New.CleanUp.ReferenceOTU369	146_31944
New.CleanUp.ReferenceOTU370	165_38020
New.CleanUp.ReferenceOTU371	162_24063
New.CleanUp.ReferenceOTU372	175_11212
New.CleanUp.ReferenceOTU373	175_11214
New.CleanUp.ReferenceOTU374	153_2647	153_11451
New.CleanUp.ReferenceOTU375	146_719
New.CleanUp.ReferenceOTU376	156_3635
New.CleanUp.ReferenceOTU377	146_20164
New.CleanUp.ReferenceOTU378	166_10828
New.CleanUp.ReferenceOTU379	146_716
New.CleanUp.ReferenceOTU380	166_15852
New.CleanUp.ReferenceOTU381	146_714	146_1473
New.CleanUp.ReferenceOTU382	156_29240
New.CleanUp.ReferenceOTU383	176_16141
New.CleanUp.ReferenceOTU384	170_25492
New.CleanUp.ReferenceOTU385	177_25074
New.CleanUp.ReferenceOTU386	165_31509
New.CleanUp.ReferenceOTU387	146_23496
New.CleanUp.ReferenceOTU388	146_23497
New.CleanUp.ReferenceOTU389	168_8951
New.CleanUp.ReferenceOTU390	146_23578
New.CleanUp.ReferenceOTU391	171_50865
New.CleanUp.ReferenceOTU392	156_26547
New.CleanUp.ReferenceOTU393	156_12635
New.CleanUp.ReferenceOTU394	156_12633
New.CleanUp.ReferenceOTU395	156_26540	151_15458
New.CleanUp.ReferenceOTU396	150_3318
