OTU	Test-Statistic	P	FDR_P	Bonferroni_P	LH + LB/30_mean	LH/30_mean	LH/10_mean	C/0_mean	LB/10_mean	C/10_mean	LH + LB/92_mean	C/92_mean	LB/30_mean	C/30_mean	LH + LB/10_mean	LB/92_mean	LH/92_mean	taxonomy
813217	33.1675781514	0.000911401891285	0.0305633910095	1.0	51.0	69.3333333333	159.333333333	24.6666666667	137.0	601.333333333	101.333333333	480.0	74.0	284.0	221.333333333	28.0	144.333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
540940	33.0802712825	0.000940485175845	0.0310041299495	1.0	412.666666667	393.666666667	811.0	6.33333333333	512.666666667	1389.66666667	891.0	1183.33333333	443.666666667	1171.0	360.333333333	981.666666667	920.666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
1646255	33.0305938812	0.000957433279716	0.0310367954841	1.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria
New.ReferenceOTU32	32.9086206259	0.0010003122593	0.0318952023664	1.0	0.0	0.666666666667	9.33333333333	0.0	8.0	26.6666666667	0.666666666667	0.0	0.666666666667	6.33333333333	4.33333333333	0.333333333333	0.333333333333	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
102222	32.8173618176	0.00103360570096	0.0324252111026	1.0	15.6666666667	4.0	6.33333333333	0.0	14.6666666667	16.6666666667	9.0	6.0	31.0	33.0	12.6666666667	10.0	2.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Pediococcus
New.ReferenceOTU26	32.66401658	0.00109198342586	0.0337128216396	1.0	8.33333333333	6.33333333333	6.66666666667	0.0	3.66666666667	21.6666666667	8.33333333333	61.6666666667	12.3333333333	79.0	3.33333333333	19.3333333333	5.33333333333	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
766563	32.4974358974	0.0011590197732	0.0342128499315	1.0	500.666666667	533.0	1016.66666667	5.33333333333	827.333333333	1702.66666667	1340.0	1371.0	702.333333333	1533.0	463.0	1657.0	984.666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
New.ReferenceOTU12	32.4720505286	0.00116957939656	0.0342128499315	1.0	166.333333333	218.666666667	215.0	0.0	234.333333333	9.33333333333	143.0	1.0	249.0	11.6666666667	154.333333333	109.0	132.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
754778	32.4488301119	0.001179320023	0.0342128499315	1.0	3.0	3.66666666667	14.0	10.0	10.0	37.3333333333	1.0	16.6666666667	3.0	18.0	16.0	1.33333333333	4.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Erwinia; s__
New.ReferenceOTU23	32.4078495392	0.00119670280761	0.0342128499315	1.0	7.66666666667	5.66666666667	9.33333333333	0.0	12.3333333333	4.33333333333	4.66666666667	0.666666666667	12.3333333333	2.33333333333	8.66666666667	4.0	4.33333333333	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU6369	32.4038095238	0.00119842984234	0.0342128499315	1.0	0.0	0.0	0.0	0.0	0.0	1.66666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
1646259	32.3284542929	0.00123108875462	0.0342128499315	1.0	4.66666666667	4.0	2.33333333333	8578.66666667	3.33333333333	13.0	24.3333333333	51.3333333333	3.33333333333	8.66666666667	8.0	19.0	23.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria
New.ReferenceOTU7	32.2377272077	0.00127155418968	0.0342128499315	1.0	0.333333333333	0.666666666667	3.33333333333	0.0	1.33333333333	22.6666666667	0.333333333333	3.33333333333	2.33333333333	7.0	2.0	0.0	0.666666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
575562	32.1882352941	0.00129416794448	0.0342128499315	1.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__
961783	32.1709771945	0.0013021446449	0.0342128499315	1.0	0.0	0.0	0.333333333333	11.3333333333	0.0	0.333333333333	4.33333333333	12.0	0.0	0.0	0.0	6.66666666667	4.33333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
New.ReferenceOTU73	32.1255292484	0.00132337903101	0.0342128499315	1.0	16.0	25.3333333333	26.3333333333	0.0	22.0	4.66666666667	6.66666666667	0.666666666667	33.0	15.6666666667	15.3333333333	3.33333333333	8.66666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
1111874	32.0811552446	0.00134443477035	0.0342128499315	1.0	1.33333333333	0.333333333333	2.66666666667	1.0	3.66666666667	16.6666666667	3.33333333333	18.0	1.0	5.66666666667	9.0	0.666666666667	7.33333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU11439	32.0336235365	0.00136734840295	0.0342128499315	1.0	0.0	0.0	0.0	0.0	0.0	1.33333333333	0.0	0.0	0.0	2.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
335256	31.9942082311	0.00138663552162	0.0342128499315	1.0	1.0	0.333333333333	20.3333333333	1.0	15.3333333333	35.3333333333	1.66666666667	7.0	3.0	5.66666666667	19.0	2.33333333333	4.33333333333	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__garvieae
673343	31.9649507119	0.00140112205013	0.0342128499315	1.0	0.0	0.0	0.0	2.66666666667	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__
436032	31.9532846715	0.00140693909228	0.0342128499315	1.0	0.333333333333	0.0	0.0	5.33333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
1072513	31.9532846715	0.00140693909228	0.0342128499315	1.0	0.0	0.0	0.0	5.66666666667	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae; g__; s__
New.ReferenceOTU16	31.95273783	0.00140721233651	0.0342128499315	1.0	163.0	221.666666667	298.0	0.0	199.0	187.0	115.666666667	36.6666666667	255.0	247.666666667	138.333333333	144.333333333	158.666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
New.CleanUp.ReferenceOTU11379	31.9078182506	0.00142983377978	0.0343336629837	1.0	7.33333333333	8.66666666667	11.3333333333	0.0	3.66666666667	4.0	6.66666666667	0.333333333333	4.66666666667	2.33333333333	5.66666666667	3.33333333333	6.66666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU1907	31.8292073586	0.00147027120301	0.0346917600309	1.0	1.0	3.0	0.333333333333	0.0	3.66666666667	0.0	1.66666666667	0.0	2.33333333333	0.0	2.33333333333	1.66666666667	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
519625	31.7574421169	0.00150815124057	0.0346917600309	1.0	0.0	0.0	0.0	3.0	0.333333333333	0.0	2.66666666667	6.0	0.0	0.0	0.0	1.66666666667	1.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__
New.CleanUp.ReferenceOTU8389	31.7498686285	0.00151220338429	0.0346917600309	1.0	0.0	0.333333333333	5.33333333333	0.0	2.0	13.6666666667	1.66666666667	1.0	3.66666666667	7.33333333333	2.0	1.66666666667	0.666666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
867135	31.6361235504	0.00157434284444	0.0346917600309	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66666666667	8.66666666667	0.0	0.0	0.0	1.0	2.0	k__Bacteria; p__[Thermi]; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus; s__
New.ReferenceOTU68	31.608610036	0.00158974028505	0.0346917600309	1.0	6.0	2.33333333333	6.33333333333	0.0	2.66666666667	15.3333333333	5.66666666667	2.0	14.6666666667	17.0	4.33333333333	11.0	1.66666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__; s__
