# Constructed from biom file
#OTU ID	C/0	C/10	C/30	C/92	LB/10	LB/30	LB/92	LH + LB/10	LH + LB/30	LH + LB/92	LH/10	LH/30	LH/92
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.000664379754044	0.0540489351553	0.0115474194453	0.00752307904285	0.0306150629266	0.00606449199861	0.00578672053492	0.0346000875125	0.0033086847423	0.00420128249676	0.0361386053986	0.00336473755047	0.00444725226311
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	0.000298292950795	0.0	0.0	0.0	0.0	0.0	0.0	6.53078284494e-06	1.11029689339e-05	2.36914426509e-05	0.0	1.3733622655e-05	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	0.000298292950795	7.01478717136e-06	6.52396578832e-06	0.0	0.0	0.0	0.0	1.30615656899e-05	2.22059378678e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.000162705245888	0.0	0.00579980558582	0.0303862582097	0.0	1.33579118912e-05	0.0	5.87770456045e-05	7.77207825373e-05	0.0	4.55863833473e-05	9.61353585849e-05	1.66252421051e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.00753867639282	2.10443615141e-05	6.52396578832e-06	8.26711982731e-05	8.67952814929e-05	4.00737356736e-05	0.000114675864259	9.79617426741e-05	0.00116581173806	7.8971475503e-06	9.11727666946e-05	0.000144203037877	0.000108064073683
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.00288801811452	7.01478717136e-06	0.0	6.42998208791e-05	5.523336095e-05	0.0	0.0	0.000104492525519	0.000532942508827	0.0	1.13965958368e-05	4.80676792924e-05	2.49378631576e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	0.000474556967174	0.0	0.0	0.0	0.0	0.0	0.0	6.53078284494e-06	9.9926720405e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	0.0	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	2.36914426509e-05	0.0	0.0	8.31262105254e-06
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	0.000162705245888	0.0	0.0	0.0	0.0	0.0	2.64636609829e-05	0.0	0.0	7.8971475503e-06	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__	1.35587704907e-05	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	1.57942951006e-05	0.0	0.0	2.49378631576e-05
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__	0.0	0.0	0.0	3.6742754788e-05	0.0	0.0	0.0	0.0	0.0	2.36914426509e-05	0.0	0.0	1.66252421051e-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae	0.0	0.0	0.0	0.0	0.0	0.0	2.64636609829e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae	4.06763114721e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0.000420321885211	0.0	6.52396578832e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.31262105254e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae	0.000745732376988	7.01478717136e-06	0.0	0.0	0.0	0.0	0.0	1.30615656899e-05	0.0	3.94857377515e-05	0.0	6.86681132749e-06	1.66252421051e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	0.00059658590159	2.10443615141e-05	0.0	0.000358241859183	0.0	0.0	0.000105854643931	1.30615656899e-05	0.0	0.000205325836308	0.0	0.0	9.97514526305e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae	0.00109826040975	7.01478717136e-06	0.0	0.000257199283516	0.0	2.67158237824e-05	3.52848813105e-05	3.91846970696e-05	3.33089068017e-05	3.94857377515e-05	0.0	1.3733622655e-05	0.000249378631576
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	0.00109826040975	0.0	0.0	8.26711982731e-05	0.0	0.0	7.93909829486e-05	0.0	0.0	2.36914426509e-05	0.0	0.0	1.66252421051e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	0.000881320081895	2.10443615141e-05	1.30479315766e-05	0.000165342396546	1.57809602714e-05	1.33579118912e-05	3.52848813105e-05	1.95923485348e-05	0.0	1.57942951006e-05	0.0	0.0	8.31262105254e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae	0.000244057868832	0.0	0.0	8.26711982731e-05	0.0	0.0	0.0	0.0	0.0	7.8971475503e-06	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	0.00214228573753	2.10443615141e-05	2.60958631533e-05	9.18568869701e-05	1.57809602714e-05	0.0	0.0	0.0	2.22059378678e-05	3.94857377515e-05	0.0	0.0	9.1438831578e-05
