OTU	Test-Statistic	P	FDR_P	Bonferroni_P	LB-AS/90+50h_mean	C/90_mean	LB/30_mean	LB+LP/90+140h_mean	LB-AS/90+140_mean	LB/90+140h_mean	LB+LP/90_mean	LB/30+120h_mean	C/30_mean	LB/90+50h_mean	LB+LP/30_mean	C/30+120h_mean	C-AS/90+50h_mean	LB-AS/90+140h_mean	C-AS/90+140h_mean	C/90+140h_mean	LB+LP/90+50h_mean	LB+LP/30+120h_mean	C/90+50h_mean	C-AS/90_mean	LB-AS/90_mean	LB/90_mean	taxonomy
New.ReferenceOTU32	75.8306005701	3.96815357469e-08	2.01242074145e-06	4.22608355704e-05	0.4	5.6	0.25	1.0	1.0	1.0	1.4	0.0	5.25	0.2	0.25	19.5	5.0	1.5	4.8	6.8	0.0	0.0	5.4	4.8	1.8	0.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
123510	75.6127450372	4.30932735479e-08	2.08610619675e-06	4.58943363285e-05	12.6	80.2	2.75	14.0	11.0	11.2	7.2	2.25	92.25	8.6	2.0	0.75	7.8	14.0	0.6	5.6	7.4	4.0	116.8	35.4	8.0	5.4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.ReferenceOTU61	75.3164202778	4.8203855293e-08	2.23204808205e-06	5.13371058871e-05	0.4	8.2	0.0	0.6	2.0	0.8	1.6	0.0	24.5	0.2	0.0	16.0	3.0	1.5	2.2	4.4	0.6	0.0	4.6	5.8	0.6	0.4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
New.ReferenceOTU58	74.4202482513	6.75955949865e-08	2.99955452753e-06	7.19893086606e-05	0.0	5.2	0.0	0.4	0.0	0.0	0.2	0.0	5.0	0.2	0.0	0.0	1.0	0.0	0.0	0.0	0.2	0.0	2.0	1.2	0.2	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.ReferenceOTU57	73.682249175	8.9211894323e-08	3.79426264522e-06	9.5010667454e-05	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	4.75	0.0	0.0	1.75	0.2	0.0	0.6	1.6	0.0	0.0	1.4	0.8	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
540940	73.5149606518	9.49916623097e-08	3.79426264522e-06	0.00010116612036	31.6	66.8	9.25	49.0	43.0	38.6	32.8	6.0	348.25	30.8	10.75	181.5	25.8	32.0	27.4	73.0	26.4	8.5	78.2	92.6	28.2	30.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
192776	73.4814668232	9.61925741043e-08	3.79426264522e-06	0.000102445091421	1.0	4.8	0.0	0.2	1.0	0.4	0.6	0.0	3.75	0.2	0.0	8.75	5.2	0.5	6.0	9.0	0.8	0.0	2.6	3.2	1.0	0.4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
New.CleanUp.ReferenceOTU441	73.1815017719	1.07638993974e-07	4.09412602078e-06	0.000114635528582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.2	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
295478	72.7190721649	1.27972821182e-07	4.39648563092e-06	0.000136291054559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus
New.CleanUp.ReferenceOTU1934	72.7190721649	1.27972821182e-07	4.39648563092e-06	0.000136291054559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
